SID,REGION,ADM1,ADM1_PCODE,ADM2,ADM2_PCODE,ADM3,TYPE,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
S363,Western,Ховд,MN84,Жаргалант,MN8414,Жаргалант,Sheep,1.27,0.93,1.06,1.96,2.23,4.26,4.95,4.97,5.41,4.15,3.12,3.12,2.94,3.14,3.31,4.01,4.23,4.61,5.32,6.68,18.24,25.01,34.79,47.53,48.9,49.62,38.03,39.49,29.7,21.14,18.56,9.58,8.42,11.42,13.98,17.83,18.86,20.46,24.24,22.29,13.87,14.73,21.08,25.12,33.08,32.18,37.6,38.23,33.03,33.69,31.43
S376,Western,Ховд,MN84,Алтай,MN8408,Алтай,Sheep,48.02,52.19,52.2,54.45,55.29,55.59,55.5,52.72,53.98,54.79,56.8,60.69,53.26,45.11,46.75,48.06,50.99,53.17,46.82,48.92,48,48.38,50.93,52.13,47.71,47.3,43.31,32.53,36.34,40.5,42.75,33.59,37.85,40.11,42.21,45.75,52.55,62.05,59.38,57.11,20.35,21.71,28.09,28.95,35.65,42.5,51.58,62.16,66.4,69.03,64.7
S381,Western,Ховд,MN84,Булган,MN8421,Булган,Sheep,70.94,76.93,78.31,83.73,77.49,67.04,67.94,62.79,65.35,65.25,65.65,69.02,57.92,49.47,50.21,52.6,58.7,59.04,57.32,60.54,64.96,58.25,62.1,56.14,53.17,53.37,47.15,29.1,31.17,32.09,33.91,31.54,38.46,41.9,42.29,41.3,44.15,48.19,46.44,43.5,21.71,26.87,0,0,41.27,45.06,49.27,57.26,63.12,66.72,62.53
S388,Western,Ховд,MN84,Буянт,MN8409,Буянт,Sheep,38.34,38.27,40.04,45.04,47.08,44.06,43.53,40.73,43.69,45.78,47.9,54.09,49.99,48.42,36.33,42.06,35.14,38.06,41.43,43.19,44.1,41.16,37.31,38.17,37.36,40.95,38.35,37.16,37.36,38.18,33.38,29.9,20.57,22.98,24.92,29.42,34.99,39.03,43.43,33.35,28.56,33.83,40.58,37.63,44.61,49.8,60.85,67.96,65.28,57.82,55.16
S394,Western,Ховд,MN84,Дарви,MN8401,Дарви,Sheep,79.78,87.76,86.73,89.85,91.16,94.96,92.2,76.9,85.82,79.95,76.47,80.56,76.14,68.69,58.31,65.53,63.51,66.78,68.44,71.27,72.51,62.41,63.37,66.74,57.75,59.89,55.91,58.57,58.73,62.56,65,42.07,26.63,34.08,41.27,48.55,58.51,63.64,71.09,79.91,52.17,60.82,77.54,101.2,112.04,122.37,142.17,140.42,119.78,117.94,117.5
S400,Western,Ховд,MN84,Дөргөн,MN8402,Дөргөн,Sheep,59.8,60.62,61.08,66.39,69.84,66.08,65.58,63.34,72.33,71.36,26.46,28.54,27.83,26.42,25.62,26.71,25.52,27.35,29.07,25.18,26.66,26.17,25.1,28.95,29.94,28.51,21.14,22.59,22.59,24.29,18.91,16.31,7.42,9.25,11.72,13.23,15.95,18.78,18.91,15.3,10.26,11.94,14.75,18.68,23.85,27.87,28.51,34.41,28.11,31.72,36.34
S405,Western,Ховд,MN84,Дуут,MN8420,Дуут,Sheep,29.27,33.11,34.27,34.98,33.13,28.59,29.5,29.22,0,25.52,32.17,34.95,34.96,35.54,32.93,36.64,36.01,36.82,40.61,42.39,40.9,37.27,37.46,39.92,37.33,37.89,33.09,31.93,26.89,30.92,32.11,26.25,23,24.15,27.49,31.99,36.45,43.45,43.22,27.07,27.53,29.29,37.28,44.29,51.22,57.1,68.89,74.43,59.12,53.81,54.26
S410,Western,Ховд,MN84,Зэрэг,MN8406,Зэрэг,Sheep,51.33,56.99,56.39,59.12,59.37,59.19,59.61,49.04,31.49,31.07,54.64,59.27,59.33,58.9,43.34,45.14,44.94,48.24,48.34,50.47,48.48,45.69,48.36,51.74,47.59,47.26,41.81,43.94,44.26,46.92,49.13,30.32,20.42,24.46,30.61,35.98,44.03,49.62,46.99,49.27,45.81,38.57,47.98,51.88,58.61,62.76,72.88,74.24,59.33,54.85,60.47
S416,Western,Ховд,MN84,Манхан,MN8411,Манхан,Sheep,62.2,65.7,67.43,74.22,74.71,72.66,73.15,66.8,52.89,53.83,73.93,79.73,74.05,73.95,59.14,64.22,64.85,68.77,70.86,72.79,76.51,76.79,82.3,88.54,84.32,85.83,78.6,81.02,72.49,76.83,78.87,58.96,39.48,44.69,53.17,62.76,73.38,79.45,73.42,67.52,67.61,63.49,76.55,82.02,92.73,102.49,117.33,117.28,94.5,81.72,90.34
S423,Western,Ховд,MN84,Мөнххайрхан,MN8419,Мөнххайрхан,Sheep,34.19,37.51,39.12,42.21,40.9,39.96,40.05,37.25,40.65,43.44,45.25,48.71,42.8,46.52,45,48.85,48.54,52.42,56.64,52.58,54.22,50.41,54.65,53.31,49.79,50.17,46.06,44.81,34.31,38.95,42.23,34.57,31.96,29.5,32.82,34.51,40.46,44.88,41.9,37.7,36.8,34.27,38.7,42.78,48.24,53.65,63.17,66.8,60.79,50.29,47.6
S428,Western,Ховд,MN84,Мөст,MN8407,Мөст,Sheep,63.34,72.4,74.17,76.36,72.91,67.05,65.55,64.72,67.94,72.42,71,75.51,62.4,56.64,48.55,55.43,57.72,56.99,59.62,59.93,60.36,66.12,72.98,79.42,77.69,79.71,71.9,67.4,54.3,58.49,61.52,44.97,41.93,43.65,47.7,54.88,64.29,75.02,73.65,73.23,63.91,51.49,61.9,67.25,77.45,83.8,98.57,104.27,97.51,85.57,84.35
S434,Western,Ховд,MN84,Мянгад,MN8410,Мянгад,Sheep,0,0,0,0,0,0,0,0,62.93,42.6,43.85,48.23,51.87,51.13,49.89,54.94,55.41,57.37,59.24,59.32,60.56,58.27,57.48,62.68,63.56,62.94,55.95,56.55,49.77,48.19,41.57,42.97,31.68,35.76,40.98,44.5,54.6,61.13,60.36,56.19,35.3,42.86,51.33,61.45,73.63,83.37,93.38,99.93,90.87,82.36,85.18
S440,Western,Ховд,MN84,Үенч,MN8413,Үенч,Sheep,54.96,61.01,60.49,65.32,62.74,62.93,63.13,62.41,67.76,67.33,57.1,63.22,59.38,56.26,53.5,56.94,58.54,59.02,55.34,58.98,61.62,57.96,62.93,59.09,56.62,56.64,52.74,42.15,41.83,43.08,46.14,38.72,37.42,38.36,39.41,39.03,42.14,45.19,46.7,44.23,24.51,25.91,31.13,32.31,37.33,39.12,44.58,47.15,48.48,50.39,47.35
S446,Western,Ховд,MN84,Ховд,MN8417,Ховд,Sheep,56.12,50.1,47.03,47.71,47.84,46.67,47.34,46.34,47.24,44.9,45.99,49.09,52.07,53.52,51.03,50.2,45.61,49.78,51.93,54.53,54.66,47.85,32.97,34.67,36.59,40.86,39.6,45.15,40.3,41.65,40.38,32.27,34.17,34.83,31.23,31.44,34.44,36.24,33.03,26.74,23.22,28.23,35.92,42.38,51.43,54.85,59.78,65.62,55.28,50.08,54.99
S452,Western,Ховд,MN84,Цэцэг,MN8405,Цэцэг,Sheep,56.83,61.17,60.66,64.81,62.66,62.3,63.55,62.18,66.12,65.86,53.92,62.35,56.97,54.49,43.86,49.53,48.99,50.14,55.66,56.53,57.91,52.63,54.46,55.38,51.1,51.23,49.71,46.38,40.85,46.44,49.61,40.74,37.81,35.2,38.44,43.63,49.66,55.84,55.38,56.77,40.4,32.11,38,39.72,47.32,53.87,63.8,74.64,76.26,73.23,68.85
S458,Western,Ховд,MN84,Чандмань,MN8403,Чандмань,Sheep,58.8,61.59,60.66,69.8,70.23,73.95,72.4,66.23,67.58,67.87,71.55,78.49,71.02,64.27,56.61,61.35,60.74,61.4,63.85,63.63,65.15,63.44,68.35,76.29,67.92,68.86,66.84,71.75,75.17,84.84,78.88,68.77,36.39,46.74,59.84,71.88,89.07,94.98,72.48,68.35,45.56,55.62,70.56,77.86,94.16,105.14,116.45,104.06,80.76,87.51,100.55
S465,Western,Ховд,MN84,Эрдэнэбүрэн,MN8418,Эрдэнэбүрэн,Sheep,52.91,56.49,58.46,60.6,60.71,57.69,57.22,50.21,52.49,51.97,50.97,55.2,52.4,55.06,53.18,54.73,53.76,56.75,59.52,62.38,58.29,60.96,60.53,66.82,66.89,69.94,61.2,64.06,52.74,53.32,49.1,48.2,39.35,45.03,50.74,56.62,65.08,69.31,53.73,48.9,36.68,43.3,54.37,60.26,72.42,83,97.25,94.73,75.63,64.63,64.7
S472,Western,Увс,MN85,Улаангом,MN8516,Улаангом,Sheep,0.62,0.6,0.5,0.61,0,5.93,5.99,6.48,6.24,5.94,5.98,8.48,10.84,12.36,14.31,15.33,10.7,12.54,8.2,8.48,9.5,9.74,7.42,6.13,5.74,3.58,2.18,51.99,1.78,0,0,0,0,0,0,0,0,0,0,83.32,54.41,56.78,64.58,62.07,78.22,70.71,78.45,89.66,95.5,103.48,101.85
S485,Western,Увс,MN85,Баруунтуруун,MN8502,Баруунтуруун,Sheep,34.64,35.33,33.98,30.95,28.21,6.19,6.62,6.9,8.2,9.1,10.65,14.88,16.58,17.05,18.4,19.89,19.98,19.35,21.45,23.85,28.11,31.03,30.67,31.44,35.41,34.59,31.27,30.44,29.92,26.42,18.54,7.72,8.37,8.41,9.64,11.99,15.61,17.68,20.61,23.35,11.79,13.38,14.07,15.61,18.89,21.74,22.59,24.88,26.66,27.17,29.75
S490,Western,Увс,MN85,Бөхмөрөн,MN8522,Бөхмөрөн,Sheep,42.03,45.9,47.17,45.62,43.58,35.69,34.63,37.27,38.61,39.19,38.45,32.85,33.8,32.44,32.15,33.26,33.53,32.86,33.64,35.19,36.97,34.49,37.41,36.8,37.27,34.09,29.54,32.57,32.07,34.08,31.38,30.74,24.34,28.92,32.47,26.73,32.48,34.57,40.41,37.22,31.12,31.89,36.59,41.25,47.09,49.7,52.54,59.88,62.65,61.78,63.98
S494,Western,Увс,MN85,Давст,MN8512,Давст,Sheep,31.95,31.47,32.33,29.8,39.39,42.83,38.01,32.62,29.71,31.8,31.95,31.56,30.61,30.15,29.8,30.84,30.88,31.18,31.64,32.25,33.72,24.9,25.34,22.87,22.22,20.65,19.12,18.1,18.4,19.63,20.26,24.05,21.02,22.44,26.93,31.98,37.8,39.26,30.82,31.46,28.34,27.5,29.09,29.33,41.84,36.12,34.73,39.67,42.18,46.12,43.7
S498,Western,Увс,MN85,Завхан,MN8510,Завхан,Sheep,18.98,20.51,21.15,21.92,19.98,20.28,20.22,22.07,20.88,23.38,23.69,24.21,25.63,22.41,22.91,24.68,25.56,26.15,23.9,23.36,25.56,26.14,28.38,33.83,37.89,39.63,36.9,41.66,46.23,40.17,29.29,29.59,11.86,14.08,18.03,19.63,21.94,23.54,24.92,23.69,13.45,15.86,20.15,23.72,84.46,32.43,33.96,40.46,41.41,43.24,49.13
S503,Western,Увс,MN85,Зүүнговь,MN8504,Зүүнговь,Sheep,80,82.7,84.37,84.38,78.31,77.4,69.13,37.72,44.49,48.69,46.45,52.24,54.78,51.99,49.32,51.26,50.44,46.89,49.93,53.8,56.78,55.18,58.78,58.59,51.76,42.19,44.88,46.81,51.09,49.29,50.58,47.3,45.84,41.36,47.53,58.49,69.56,73.24,72.94,70.24,28.55,32.66,40.81,47.14,0,61.66,60.83,68.26,72.35,75.66,77.72
S509,Western,Увс,MN85,Зүүнхангай,MN8501,Зүүнхангай,Sheep,85.11,89.32,87.88,85.21,88.82,79.43,72.88,70.86,75.02,76.71,63.93,50,47.87,47.71,46.86,49.27,50.14,50.89,53.14,57.11,60.05,52.29,52.14,58.41,62.29,57.71,56.26,60.71,60.36,61.65,52.78,42.22,42.79,46.41,54.75,57.31,69.51,79.1,84.43,70.4,40.26,43.6,54.23,59.32,69.62,76.33,78.08,87.64,86.47,94.42,95.93
S514,Western,Увс,MN85,Малчин,MN8509,Малчин,Sheep,75.66,81.2,82.8,84.54,84.33,84.22,67.87,66.62,69.6,75.43,76.86,75.03,79.77,79.44,69.5,72.49,68.72,69.6,69.56,73.4,75.37,66.27,65.08,70.43,70.5,68.3,70.37,73.14,71.33,65.73,57.39,51.51,56.01,55.2,63.41,61.03,69.39,73.87,59.38,68.42,53.48,58.99,68.38,74.87,84.74,88.76,93.96,100.96,104.5,108.72,109.23
S519,Western,Увс,MN85,Наранбулаг,MN8511,Наранбулаг,Sheep,75.37,79.98,80.98,87.78,81.28,74.59,58.61,61.35,64.93,67.94,69.06,71.48,72.65,67.22,67.73,66.57,65.9,67.24,68.11,68.8,67.83,62.24,57.53,59.64,60.46,56.93,58.36,61.98,65.63,66.44,56.8,62.44,60.05,66.02,76.25,71.98,83.62,89.24,77.62,77.82,51.99,59.86,72.67,85.15,99.96,107.28,112.51,124.56,131.26,123.57,128.4
S524,Western,Увс,MN85,Өлгий,MN8515,Өлгий,Sheep,60.63,60.61,58.73,58.57,58.09,52.76,43.21,47.32,49.34,50.35,51.82,54.8,55.33,45.28,47.17,48.89,48.77,50.89,52.01,50.99,51.34,49.16,48.63,51.92,52.4,54.31,51.75,52.57,54.77,55.76,40.15,41.6,19.89,24.71,30.4,30.47,37.32,40.36,36.15,29.58,16.5,19.66,24.36,29.62,35.39,40.54,41.54,48.76,49.21,41.53,47.41
S529,Western,Увс,MN85,Өмнөговь,MN8521,Өмнөговь,Sheep,97.51,95.36,97.17,101.97,104.9,100.94,69.65,74.64,74.99,76.01,73.89,75.86,75.91,63.76,68.08,70.55,70.28,73.89,76.76,79.67,82.59,74.36,77.22,79.16,77.66,78.51,70.57,73.55,69.54,66.41,48.24,50.46,41.03,53.1,65.3,68.16,76.56,83.26,80.12,66.38,38.64,45.44,56.81,70.05,82.77,89.06,93.62,109.06,113.71,100.66,108.28
S535,Western,Увс,MN85,Өндөрхангай,MN8503,Өндөрхангай,Sheep,65.07,64.42,63.38,64.41,63.64,64.69,67.24,69.99,73.16,74.2,70.9,61.51,64.25,63.58,58.96,59.27,56.36,57.09,56.8,58.16,57.81,51.76,54.54,57,53.92,49.64,48.38,52.89,56.36,60.63,47.57,46.43,42.09,48.73,60.1,60.14,73.53,86.57,86.34,70.63,45.15,54.48,60.71,66.04,78.83,88.4,79.84,99.89,93.84,109.17,113.45
S541,Western,Увс,MN85,Сагил,MN8519,Сагил,Sheep,65.13,62.92,62.48,62.25,63.24,59.68,54.69,51.17,51.99,53.9,52.38,52.52,54.12,48.48,43.93,43.59,43.1,44.48,44.76,44.86,43.64,41.92,43.98,43.73,44.06,42.01,41.4,50.54,41.65,37.39,39.52,39.99,43.19,47.2,54.03,57.69,69.65,72.17,75.91,72.48,50,49.14,53.31,57.19,66.78,71.91,73.04,83.16,87.63,90.57,93.31
S547,Western,Увс,MN85,Тариалан,MN8513,Тариалан,Sheep,71.08,71.88,72.55,77.66,87.97,82.25,69.52,75.99,75.76,80.1,83.73,84.7,84.38,75.14,74.84,74.98,74.47,77.58,79.14,81.24,82.81,65.12,66.29,59.35,56.99,61.74,65.18,65.45,73.31,72.37,57.19,56.7,57.65,63.29,68.42,73.75,76.57,78.86,67.17,60.1,37.12,40.73,48.59,54.51,66.38,68.25,75.23,86.27,89.67,86.64,84.91
S554,Western,Увс,MN85,Түргэн,MN8520,Түргэн,Sheep,45.3,41.94,41.86,42.6,38.1,35.43,30.18,29.93,30.4,31.62,32.8,32.32,35.26,32.5,34.37,34.68,33.59,32.75,33.3,34.05,35.54,36.6,38.31,36.41,35.5,33.94,32.73,34.5,35.44,37.32,37.85,38.59,32.99,33.7,39,44.19,50.52,53.98,58.01,50.75,34.04,36.75,37.06,43.02,50.31,58.75,66.81,74.84,77.23,78.32,74.24
S558,Western,Увс,MN85,Тэс,MN8506,Тэс,Sheep,75.3,81.04,83.65,89.93,88.51,86.74,74.01,72.04,72.99,74.12,75.29,80.95,82.21,79.98,81.83,80.23,80.8,76.89,79.77,81.82,88.04,92.47,97.79,90.52,81.9,72.17,69.61,70.9,79.93,88.3,93.79,97.33,103.67,94.51,107.69,120.07,143.87,163.36,143.75,142.75,127.49,138.46,149.85,162.06,179.74,175.51,162.97,170.7,152.32,159.09,150.25
S569,Western,Увс,MN85,Ховд,MN8523,Ховд,Sheep,51,52.01,52.4,53.1,53.93,46.38,42.69,45.6,45.89,47.66,47.23,42.16,44.53,40.19,39.14,40.76,39.81,40.7,42.41,42.9,42.88,38.76,39.65,39.43,40.28,39.26,35.14,36.41,36.93,34.47,29.32,26.45,16.48,18.93,22.34,24.07,27.82,30,32.78,30.58,21.2,24.53,27.72,31.98,35.38,39.59,42.63,49.91,49.56,50.33,49.93
S574,Western,Увс,MN85,Хяргас,MN8508,Хяргас,Sheep,60.6,62.5,64.33,66.83,60.78,60.23,55.26,49.7,51.63,54.69,52.26,53.66,56.45,56.19,56.45,58.51,60.82,61.61,63.26,64.97,66.57,62.63,62.23,62.98,62.39,60.42,60.1,61.13,60.35,57.4,54.29,53.48,56.28,53.26,59.38,67.72,80.53,88.44,84.81,85.12,56.73,61.77,71.27,78.26,89.16,96.21,102.88,115.84,116.11,122.99,120.98
S579,Western,Увс,MN85,Цагаанхайрхан,MN8505,Цагаанхайрхан,Sheep,42.53,43.44,42.99,43.17,40.93,38.16,35.89,36.2,36.6,38.29,37.91,35.35,38.98,40.81,41.15,43.45,43.39,44.56,44.54,45.59,47.37,43.36,44.3,40.71,41.8,37.19,38.02,39.86,44.12,46.58,45.27,40.2,30.32,35.37,43.31,47.43,56.56,63.71,51.79,50.83,36.67,39.99,45.76,50.11,57.98,64.06,70.28,77.71,75.72,81.32,80.22
S586,Northern,Орхон,MN61,Баян-Өндөр,MN6102,Баян-Өндөр,Sheep,0,0,0,0,0,0,0.7,2.9,2.7,0.5,3.21,6.75,10.37,11.93,13.28,14.71,14.71,17.34,21.55,26.29,32.64,10.21,15.98,21.39,50.26,50.09,45.83,41.94,45.68,57.84,60.27,59.78,60.28,32.87,33.61,41.95,55.69,65.9,80.98,79.92,55.79,51.53,60.79,59.65,18.69,19.48,22.75,22.5,24.73,26.64,26.98
S609,Northern,Орхон,MN61,Жаргалант,MN6101,Жаргалант,Sheep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.08,17.98,17.59,14.11,19.48,16.41,17.31,17.74,20.78,20.15,19.3,13.45,9.93,11.55,13.84,16.11,21.69,30.01,31.86,17.3,17.11,19.41,20.21,32.55,28.63,29.9,25.16,22.76,23.92,24.27
S615,Northern,Өвөрхангай,MN62,Арвайхээр,MN6216,Арвайхээр,Sheep,0.52,0.62,0.59,0.57,0.58,0.75,2.7,0.89,0.23,0.22,0.16,0.13,2.3,1.54,2.08,2.49,1.93,2.23,3.84,7.15,17.41,18.07,24.41,41.8,54.45,57.45,38.43,40.43,29.3,25.77,21.76,13.65,15.21,18.81,21.52,23.41,31.34,48.23,61.02,66.49,25.11,35.83,56.34,72.07,88.96,92.1,121.99,130.94,124.55,125.98,117.23
S629,Northern,Өвөрхангай,MN62,Баруунбаян-Улаан,MN6227,Баруунбаян-Улаан,Sheep,34.2,31.99,34.79,34.4,36.15,35.95,36.6,38.63,38.79,38.52,40.01,40.44,44.04,45.6,43.75,41.79,40.12,39.55,38.68,40.09,42.17,41.35,38.61,40.54,43.42,45.19,41.86,42.13,44.8,47.69,46.08,26.9,14.85,16.94,19.96,23.17,26.97,32.98,38.46,44.22,33.54,37.12,44.36,52.27,58.87,63.86,75.62,82.74,73.05,74.45,46.38
S634,Northern,Өвөрхангай,MN62,Бат-Өлзий,MN6221,Бат-Өлзий,Sheep,39.39,38.76,40.11,40.88,41.51,43.08,43.01,43.79,45.36,45.16,45.94,51.31,54.35,48.08,46.15,41.63,37.33,38.8,39.74,41.7,44.46,40.43,38.76,30.19,30.97,33.02,31.81,32.99,35.99,40.9,34.23,28.11,27.26,28.62,29.6,32.6,39.84,44.27,52.47,60.01,33.03,41.35,52.36,65.52,74.71,85.59,103.86,118.28,125.47,140.03,109.05
S640,Northern,Өвөрхангай,MN62,Баянгол,MN6206,Баянгол,Sheep,92.85,94.77,100.68,103.96,105.95,107.87,110.19,111,101.55,104.6,109.08,110.19,117.17,90.85,96.97,94.66,98.49,103.62,102.12,114.55,121.93,125.67,134.16,128.28,124.9,126.74,125.22,138.22,150.57,142.26,90.05,93.21,98.88,110.39,121.47,121.37,135.31,153.1,166.66,164.39,56.21,71.5,92.8,114.42,138.53,164.31,195.13,230.11,234.63,213.35,169.81
S647,Northern,Өвөрхангай,MN62,Баян-Өндөр,MN6201,Баян-Өндөр,Sheep,80.46,77.02,76.45,79.03,86.76,88.53,80.5,75.95,83.96,86.55,89.81,92.58,94.31,64.98,70.49,68.84,69.27,71.41,77.78,81.24,88.3,71.66,76.64,72.59,78.34,83.4,86.87,93.82,102.69,105.15,69.11,70.76,58.26,63.54,70.37,82.58,97.81,118.69,114.67,125.59,88.89,107.44,142.33,160.34,180.22,186.09,206.3,228.11,216.03,198.44,178.76
S653,Northern,Өвөрхангай,MN62,Богд,MN6219,Богд,Sheep,57.21,52.5,57.72,61.18,66.91,69.01,67.65,66.16,66.23,64.14,63.88,65.85,67.04,69.44,64.07,54.47,56.33,58.24,60.15,65.53,64.7,65.48,64.04,69.59,76.04,82.11,71.24,74.19,72.27,78.88,74.34,66.94,41.49,41.53,43.6,42.83,43.11,49.67,53.67,61.92,40.52,47,53.41,62.48,72.16,79.47,93.43,109.42,115.33,125.02,80.89
S661,Northern,Өвөрхангай,MN62,Бүрд,MN6202,Бүрд,Sheep,46.44,47.5,50.66,52.81,58.02,60.25,62.74,53.51,58.82,60.38,62.63,67.76,73.78,63.8,63.69,64.49,61.12,56.69,56.09,61.37,66.63,61.92,64.06,71.35,74.39,72.03,68.99,70.48,74.7,75.8,58.86,51.95,43.71,48.26,56,65.65,80.08,98.95,107.05,122.35,105.98,118.11,141.31,158.43,175.73,188,206.69,214.76,187.83,194.37,178.52
S667,Northern,Өвөрхангай,MN62,Гучин-Ус,MN6218,Гучин-Ус,Sheep,29.33,29.41,31.83,33.11,35.23,36.4,37.13,39.43,39.26,38.57,40.94,45.74,47.65,47.63,42.25,35.93,38.47,40.2,38.79,43.08,47.79,47.06,44.24,48.28,50.02,51.04,48.34,51.11,57.12,62.02,53.7,47.8,38.04,40.37,45.81,48.74,52.17,63.31,68.79,68.87,38.71,41.75,50.02,59.76,67,79.08,92.46,102.03,106.29,105.19,69.74
S672,Northern,Өвөрхангай,MN62,Есөн зүйл,MN6203,Есөн зүйл,Sheep,56.04,51.68,48.75,43.84,52.82,53.08,53.67,54.44,55.87,59,57.7,61.58,66.88,51.03,54.4,56.13,56.71,54.74,57.25,61.98,67.4,54.79,51.61,52.15,58.31,63.42,61.22,64.27,70.07,72.43,51.91,52.66,48.54,47.98,52.88,60.6,72.85,83.02,69.06,76.36,49.26,59.58,65.72,74.31,86.8,97.15,115.85,129.71,114.03,109.78,93.76
S677,Northern,Өвөрхангай,MN62,Зүүнбаян-Улаан,MN6212,Зүүнбаян-Улаан,Sheep,53.72,56.92,58.47,59.28,60.23,64.86,68.73,73.32,79.67,80.87,77.38,77.17,75.18,50.59,57.37,57.61,56.89,58.26,58.51,60.81,67.94,56.21,62.2,52.99,57.63,60.04,57.48,59.06,61.78,60.22,51.2,42.07,37.23,41.9,42.01,44.65,51.51,62.23,67.01,77.21,26.24,32.57,41.78,51.13,64.44,75.48,93.08,112.72,124.24,130.15,108.25
S684,Northern,Өвөрхангай,MN62,Нарийнтээл,MN6226,Нарийнтээл,Sheep,45.51,45.58,40.84,40.38,43.95,46.77,47.64,49.66,52.93,54.37,54.67,55.85,57.02,50.88,39.6,34.54,32.83,32.94,31.81,34.31,36.8,36.86,41,41.2,45.12,50.48,52.29,54.07,57.26,63.26,60,36.25,22.63,25.4,28.62,33.29,37.83,47.41,54.07,58.67,49,51.37,57.3,64.4,75.11,80.64,89.25,91.5,79.86,83.19,66.39
S689,Northern,Өвөрхангай,MN62,Өлзийт,MN6205,Өлзийт,Sheep,53.95,48.36,47.95,47.96,53.67,53.71,56.08,59.67,61.36,62.01,53.06,55.08,59.89,41.94,49.92,51.28,48.06,50.4,54.77,59.34,62.24,62.85,62.88,58.98,62.29,67.59,70.61,72.98,78.96,79.31,57.31,51.1,50.1,54.68,61.06,70.66,79.22,93.6,91.64,97.53,49.89,57.59,73.21,83.01,99.21,109.4,125.14,140.58,132.87,120.41,103.54
S694,Northern,Өвөрхангай,MN62,Сант,MN6204,Сант,Sheep,70.32,73.36,78.45,80.83,86.68,88.1,89.62,91.15,96.26,96.97,95.37,86.59,93.72,84.31,80.24,79.08,79.18,78.06,77.24,83.19,90.05,85.78,94.15,83.03,94.14,99.11,97.16,102.78,110.28,103.17,63.86,70.41,70.45,76.52,83.19,89.48,96.07,107.85,114.51,106.76,29.22,36.54,49.04,62.63,80.19,93.7,113,139.41,139.19,128.55,112.93
S700,Northern,Өвөрхангай,MN62,Тарагт,MN6214,Тарагт,Sheep,78.85,74.75,82.55,85.82,90.72,93.33,91.69,95.54,96.75,96.47,93.45,95.35,94.44,60.36,70.57,64.19,66.95,68.83,68.22,73.76,78.96,78.04,80.29,72.29,79.98,83.35,86.01,83.16,91.01,90.82,55,43.15,45.62,53.65,59.4,61.58,69.25,84.22,93.02,93.01,29.19,39.92,52.88,66.59,84.47,100.49,119.44,138.9,139.56,130.5,105.51
S707,Northern,Өвөрхангай,MN62,Төгрөг,MN6208,Төгрөг,Sheep,33.54,33.17,37.62,38.22,39.09,40.02,42.41,43.76,44.51,42.21,43.68,46.27,47.76,45.75,43.01,39.44,39.44,44.43,44.67,47.55,50.31,51.25,54.78,53.25,54.46,53.57,49.89,55.02,60.9,64.25,45.61,33.09,34.8,39.08,42.82,41.72,48.71,57.97,67.6,68.81,21.16,26.1,33.46,41.45,50.62,61.06,77.3,97.87,107.41,110.97,79.84
S713,Northern,Өвөрхангай,MN62,Уянга,MN6222,Уянга,Sheep,49.27,50.46,50.19,51.58,52.93,57.2,59.47,66.01,66.1,62.1,49.43,46.33,44.23,43.97,47.25,44,45.6,46.64,45.24,45.77,49.87,49.93,51.1,46.78,45.82,48.33,47.85,47.89,47,51.04,46.1,34.64,30.8,38.14,43.5,47.63,55.08,68.02,78.26,88.53,42.57,54.03,67.75,82.49,107.24,117.68,137.61,142.88,134.03,151.54,112.45
S722,Northern,Өвөрхангай,MN62,Хайрхандулаан,MN6224,Хайрхандулаан,Sheep,76.22,75.15,76.24,79.6,79.37,80.92,78.02,84.99,86.4,87.71,81.34,82.23,83.86,73.26,53.48,56.1,56.26,55.05,52.31,55.3,57.75,58.03,60.95,59.88,61.15,63.69,65.42,66.54,73.25,75.6,58.06,40.3,34.16,38.92,43.92,49.6,56.94,74.14,80.03,81.06,50.07,57.24,72.39,85.94,103.87,113.61,132.43,143.62,135.55,135.99,99.19
S729,Northern,Өвөрхангай,MN62,Хархорин,MN6209,Хархорин,Sheep,47.94,45.8,49.65,49.56,50.7,52.89,54.84,56.79,56.99,57.96,51.32,51.82,53.94,48.25,56.44,59.78,62.08,64.39,65.16,73.22,73.3,76.34,77.61,78.77,87.77,89.36,83.31,81.95,87.16,92.49,50.52,45.79,43.27,42.21,47.94,58.22,69.14,88.96,97.2,116.85,77.67,79.16,93.43,102.36,115.02,129.58,153.78,167.24,158.68,179.46,154.84
S738,Northern,Өвөрхангай,MN62,Хужирт,MN6211,Хужирт,Sheep,47.06,43.42,48.7,52.06,56.91,60.54,64.4,66.98,68.42,70.57,66.69,73.75,78.19,62.47,71.05,71.49,75.15,78.25,75.5,81.52,86.01,83.56,69.14,68.86,75.69,82.65,76.14,75.71,82.86,91.99,71.35,62.29,50.64,54.71,57.82,61.67,70.2,85.49,94.04,112.8,50.37,57.57,71.02,81.72,97.89,104.47,126.11,142.48,139.54,149.47,127.87
