ID,ADM,REGION,ADM1,ADM1_PCODE,ADM2,ADM2_PCODE,ADM3,ADM4
73,"                            4-р баг, Холбоо",Western,Завхан,MN81,Сантмаргац,MN8126,"4-р баг, Холбоо","4-р баг, Холбоо"
74,                    Сонгино,Western,Завхан,MN81,Сонгино,MN8123,Сонгино,
75,"                            1-р баг, Баян-Айраг",Western,Завхан,MN81,Сонгино,MN8123,"1-р баг, Баян-Айраг","1-р баг, Баян-Айраг"
76,"                            2-р баг, Айраг нуур",Western,Завхан,MN81,Сонгино,MN8123,"2-р баг, Айраг нуур","2-р баг, Айраг нуур"
77,"                            3-р баг, Шар нуруу",Western,Завхан,MN81,Сонгино,MN8123,"3-р баг, Шар нуруу","3-р баг, Шар нуруу"
78,"                            4-р баг, Тариат",Western,Завхан,MN81,Сонгино,MN8123,"4-р баг, Тариат","4-р баг, Тариат"
79,"                            5-р баг, Бор-Өндөр",Western,Завхан,MN81,Сонгино,MN8123,"5-р баг, Бор-Өндөр","5-р баг, Бор-Өндөр"
80,                Тосонцэнгэл,Western,Завхан,MN81,Тосонцэнгэл,MN8103,Тосонцэнгэл,
81,"                        1-р баг, Дархан-Уул",Western,Завхан,MN81,Тосонцэнгэл,MN8103,"1-р баг, Дархан-Уул","1-р баг, Дархан-Уул"
82,"                        2-р баг, Хайрхан",Western,Завхан,MN81,Тосонцэнгэл,MN8103,"2-р баг, Хайрхан","2-р баг, Хайрхан"
83,"                        3-р баг, Улаантолгой",Western,Завхан,MN81,Тосонцэнгэл,MN8103,"3-р баг, Улаантолгой","3-р баг, Улаантолгой"
84,"                        4-р баг, Рашаант",Western,Завхан,MN81,Тосонцэнгэл,MN8103,"4-р баг, Рашаант","4-р баг, Рашаант"
85,"                        5-р баг, Баян-Улаан",Western,Завхан,MN81,Тосонцэнгэл,MN8103,"5-р баг, Баян-Улаан","5-р баг, Баян-Улаан"
86,"                        6-р баг, Идэр",Western,Завхан,MN81,Тосонцэнгэл,MN8103,"6-р баг, Идэр","6-р баг, Идэр"
87,"                        7-р баг, Оргих",Western,Завхан,MN81,Тосонцэнгэл,MN8103,"7-р баг, Оргих","7-р баг, Оргих"
88,                    Түдэвтэй,Western,Завхан,MN81,Түдэвтэй,MN8121,Түдэвтэй,
89,"                            1-р баг, Баянцагаан",Western,Завхан,MN81,Түдэвтэй,MN8121,"1-р баг, Баянцагаан","1-р баг, Баянцагаан"
90,"                            2-р баг, Аргалант",Western,Завхан,MN81,Түдэвтэй,MN8121,"2-р баг, Аргалант","2-р баг, Аргалант"
91,"                            3-р баг, Цорго",Western,Завхан,MN81,Түдэвтэй,MN8121,"3-р баг, Цорго","3-р баг, Цорго"
92,"                            4-р баг, Ойгон",Western,Завхан,MN81,Түдэвтэй,MN8121,"4-р баг, Ойгон","4-р баг, Ойгон"
93,"                            5-р баг, Шарнуруу",Western,Завхан,MN81,Түдэвтэй,MN8121,"5-р баг, Шарнуруу","5-р баг, Шарнуруу"
94,                    Тэлмэн,Western,Завхан,MN81,Тэлмэн,MN8105,Тэлмэн,
95,"                            1-р баг, Өгөөмөр",Western,Завхан,MN81,Тэлмэн,MN8105,"1-р баг, Өгөөмөр","1-р баг, Өгөөмөр"
96,"                            2-р баг, Шургах",Western,Завхан,MN81,Тэлмэн,MN8105,"2-р баг, Шургах","2-р баг, Шургах"
97,"                            3-р баг, Нуур",Western,Завхан,MN81,Тэлмэн,MN8105,"3-р баг, Нуур","3-р баг, Нуур"
98,"                            4-р баг, Баянтэгш",Western,Завхан,MN81,Тэлмэн,MN8105,"4-р баг, Баянтэгш","4-р баг, Баянтэгш"
99,"                            5-р баг, Өвөгдий",Western,Завхан,MN81,Тэлмэн,MN8105,"5-р баг, Өвөгдий","5-р баг, Өвөгдий"
100,"                            6-р баг, Баян-Айраг",Western,Завхан,MN81,Тэлмэн,MN8105,"6-р баг, Баян-Айраг","6-р баг, Баян-Айраг"
101,                    Тэс,Western,Завхан,MN81,Тэс,MN8125,Тэс,
102,"                            1-р баг, Дооно",Western,Завхан,MN81,Тэс,MN8125,"1-р баг, Дооно","1-р баг, Дооно"
103,"                            2-р баг, Нисэг",Western,Завхан,MN81,Тэс,MN8125,"2-р баг, Нисэг","2-р баг, Нисэг"
104,"                            3-р баг, Баян-Уул",Western,Завхан,MN81,Тэс,MN8125,"3-р баг, Баян-Уул","3-р баг, Баян-Уул"
105,"                            4-р баг, Зүр",Western,Завхан,MN81,Тэс,MN8125,"4-р баг, Зүр","4-р баг, Зүр"
106,                    Ургамал,Western,Завхан,MN81,Ургамал,MN8129,Ургамал,
107,"                            1-р баг, Тосгуур",Western,Завхан,MN81,Ургамал,MN8129,"1-р баг, Тосгуур","1-р баг, Тосгуур"
108,"                            2-р баг, Хульж",Western,Завхан,MN81,Ургамал,MN8129,"2-р баг, Хульж","2-р баг, Хульж"
109,"                            3-р баг, Нуур зөөхий",Western,Завхан,MN81,Ургамал,MN8129,"3-р баг, Нуур зөөхий","3-р баг, Нуур зөөхий"
110,"                            4-р баг, Төв",Western,Завхан,MN81,Ургамал,MN8129,"4-р баг, Төв","4-р баг, Төв"
111,"                            5-р баг, Баян-Улаан",Western,Завхан,MN81,Ургамал,MN8129,"5-р баг, Баян-Улаан","5-р баг, Баян-Улаан"
112,                    Цагаанхайрхан,Western,Завхан,MN81,Цагаанхайрхан,MN8112,Цагаанхайрхан,
113,"                            1-р баг, Цэцэрлэг",Western,Завхан,MN81,Цагаанхайрхан,MN8112,"1-р баг, Цэцэрлэг","1-р баг, Цэцэрлэг"
114,"                            2-р баг, Онц",Western,Завхан,MN81,Цагаанхайрхан,MN8112,"2-р баг, Онц","2-р баг, Онц"
115,"                            3-р баг, Баянбулаг",Western,Завхан,MN81,Цагаанхайрхан,MN8112,"3-р баг, Баянбулаг","3-р баг, Баянбулаг"
116,"                            4-р баг, Агьт",Western,Завхан,MN81,Цагаанхайрхан,MN8112,"4-р баг, Агьт","4-р баг, Агьт"
117,                    Цагаанчулуут,Western,Завхан,MN81,Цагаанчулуут,MN8115,Цагаанчулуут,
118,"                            1-р баг, Арц",Western,Завхан,MN81,Цагаанчулуут,MN8115,"1-р баг, Арц","1-р баг, Арц"
119,"                            2-р баг, Жавцаг",Western,Завхан,MN81,Цагаанчулуут,MN8115,"2-р баг, Жавцаг","2-р баг, Жавцаг"
