CID,NATIONAL,REGION,ADM1,ADM1_PCODE,ADM2,ADM2_PCODE,ADM3,ADM4,,TYPE,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
C28,National,Western,Завхан,MN81,Баянхайрхан,MN8118,"1-р баг, Наран","1-р баг, Наран",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,0.55,0.63,0.63,0.72,0.66,0.76,0.99,1.03
C29,National,Western,Завхан,MN81,Баянхайрхан,MN8118,"2-р баг, Асгат","2-р баг, Асгат",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41,1.44,1.74,2.15,2.2,2.35,2.55,2.77,2.29
C30,National,Western,Завхан,MN81,Баянхайрхан,MN8118,"3-р баг, Минж","3-р баг, Минж",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39,1.75,2.06,2.27,1.84,1.94,2.15,2.43,2.54
C31,National,Western,Завхан,MN81,Баянхайрхан,MN8118,"4-р баг, Төөнт","4-р баг, Төөнт",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16,1.29,1.45,1.6,1.36,1.6,1.88,1.98,1.82
C32,National,Western,Завхан,MN81,Дөрвөлжин,MN8128,Дөрвөлжин,,,Үхэр,3.86,4.28,4.5,4.34,4.4,4.52,4.71,4.27,4.12,3.61,3.57,3.41,3.49,2.26,2.35,2.67,2.82,2.93,3.17,3.25,3.33,3.66,3.33,3.64,4.42,5.35,5.63,5.09,4.77,4.77,3.22,2.1,1.04,1.16,1.38,1.71,1.99,2.51,2.68,2.14,1.08,1.13,1.4,1.89,2.39,2.86,3.45,4.1,3.58,3.97,4.32
C33,National,Western,Завхан,MN81,Дөрвөлжин,MN8128,"1-р баг, Буга","1-р баг, Буга",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.05,0.07,0.09,0.1,0.08,0.07,0.08,0.09
C34,National,Western,Завхан,MN81,Дөрвөлжин,MN8128,"2-р баг, Цогт","2-р баг, Цогт",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.26,0.37,0.51,0.63,0.77,0.64,0.69,0.79
C35,National,Western,Завхан,MN81,Дөрвөлжин,MN8128,"3-р баг, Тавантолгой","3-р баг, Тавантолгой",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.41,0.48,0.55,0.66,0.72,0.67,0.77,0.82
C36,National,Western,Завхан,MN81,Дөрвөлжин,MN8128,"4-р баг, Буурал","4-р баг, Буурал",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,0.48,0.6,0.69,0.82,1.03,0.93,1.03,1.1
C37,National,Western,Завхан,MN81,Дөрвөлжин,MN8128,"5-р баг, Онц","5-р баг, Онц",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,0.7,0.86,1.02,1.24,1.51,1.27,1.41,1.53
