GID,ADM,ADM1,ADM1_PCODE,ADM2,ADM2_PCODE,TYPE,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
G138,Western,Завхан,MN81,Яруу,MN8113,Goat,7.27,7.71,7.75,8.21,8.3,8.28,8.65,6.7,7.15,8.19,8.13,7.95,7.81,8.4,8.39,8.11,8.78,9.29,8.36,9.26,9.19,9.62,10.17,11.2,15.44,19.11,21.11,22.79,24.06,21.5,13.74,10.27,12.82,19.42,22.51,26.82,32.62,44.28,50.35,42.71,22.07,30.37,34.19,37.49,41.54,44.81,48.9,54.48,54.97,59.3,53.16
G145,Western,Говь-Алтай,MN82,Есөнбулаг,MN8208,Goat,0,0.74,0.4,0.48,0.48,0.35,0.5,0.79,0.67,0.69,0.74,1.09,1.69,1.87,2.13,2.71,3.4,4.36,4.6,5.72,8.66,12.04,15.75,18.77,24.61,29.19,45.48,49.32,66.79,86.12,59.35,44.67,26.14,40.35,46.53,56.39,77.2,85.23,93.65,66.15,38.92,52.45,56.27,70.75,90.92,99.62,123.9,132.69,130.1,138.72,145.54
G156,Western,Говь-Алтай,MN82,Алтай,MN8213,Goat,22.49,22.91,22.59,23.2,22.82,23.84,25.33,27.48,27.64,27.34,26.17,25.28,24.93,24.95,22.9,22.46,18.99,19.44,21.23,23.3,25.15,25.2,28.03,31.7,36.94,41.1,43.35,48.62,52.23,51.5,54.45,48.83,40.21,50,54.09,58.03,65.25,73.04,72.42,52.32,29.2,35.84,40.73,49.48,57.57,65.34,80.81,102.44,111.48,115.31,101.89
G161,Western,Говь-Алтай,MN82,Баян-Уул,MN8215,Goat,34.38,34.92,34.03,33.42,31.96,34.53,29.5,29.32,30.11,31.05,31.93,30.88,32.1,32.03,33.09,33.05,31.86,35.22,36.67,38.93,40.37,37.85,40.57,43.89,53.36,60.16,62.92,64.67,64.17,71.98,65.3,60.04,35.55,52.66,68.13,76.29,90.93,101.04,105.31,87.42,44.64,65.29,78.09,92.31,105.18,114.69,139.09,127.9,104.94,110.16,134.75
G168,Western,Говь-Алтай,MN82,Бигэр,MN8204,Goat,23.87,24.72,25.26,25.75,23.98,25.61,26.58,28.11,28.22,24.42,26.02,28.1,28.5,27.59,23.89,25.61,26.4,28.34,26.5,30.66,29.36,30.78,34.2,40.56,49.42,53.84,51.33,52.84,57.49,43.37,43.53,43.99,30.03,37.49,44.69,51.83,59.01,63.58,62.19,59.01,48.6,60.78,71.09,78.83,89.22,100.74,116.44,129.96,118.68,126.87,93.18
G174,Western,Говь-Алтай,MN82,Бугат,MN8220,Goat,24.99,26.3,25.04,24.76,25.15,24.76,19.61,16.53,17.16,15.36,13.66,12.42,13.81,14.13,12.23,14.33,15.27,16.74,17.43,20,21.98,25.09,30.07,33.82,40.95,48.98,51.64,49.41,51.29,51.45,55.95,45.21,47.74,54.28,64.31,67.64,73.97,80.69,83.14,66.64,35.89,44.08,49,51.98,63.98,77.17,96.23,112.73,121.79,115.7,111.99
G180,Western,Говь-Алтай,MN82,Дарив,MN8219,Goat,24.49,26.43,24.71,26.51,25.61,26.2,23.45,20.31,21.59,22.4,20.83,21.16,21.78,20.6,16.37,22.49,23.95,26.17,28.94,31.96,30.96,31.52,35.77,40.36,48.66,54.91,53.91,54.1,50.39,55.83,52.18,45.73,35.68,50.2,66.66,77.82,91.58,91.04,92.56,86.34,50.48,58.62,68.38,76.8,82.83,90.86,105.53,90,64.57,67.62,78.1
G185,Western,Говь-Алтай,MN82,Дэлгэр,MN8201,Goat,20.45,21.98,23.18,25.73,26.24,27.39,28.15,29.79,30.85,31.31,33.02,39.05,37.01,37.87,25.51,30.31,32.02,33.35,27.64,33.05,32.81,32.54,39.6,39.8,50.39,60.76,63.81,71.03,68.66,63.07,67.79,50.1,25.22,36,45.9,62.87,80.01,93.97,106.41,95.72,57.35,75.74,90.51,110.43,128.73,142.64,155.95,170.09,168.25,181.82,144.01
G191,Western,Говь-Алтай,MN82,Жаргалан,MN8211,Goat,14.76,15.52,16.43,15.81,16.97,17.17,22.13,21.81,23.02,23.59,21.74,19.9,20.34,17.73,19.94,21.22,20.81,21.37,22.45,24.74,26.29,26.65,29.11,30.54,35.55,41.97,44.77,47.44,49.26,51.55,45.39,48.4,38.85,43.79,53.34,58.56,74.76,86.76,87.88,67.38,28.1,39.86,48.03,59.29,74.39,84.22,98.13,113.31,108.36,113.8,113.48
G195,Western,Говь-Алтай,MN82,Тайшир,MN8207,Goat,20.15,21.47,21.92,22.73,23.68,24.51,24.87,26.24,26.64,23.17,21.36,15.78,14.82,15.02,12.79,14.87,15.9,16.83,17.57,19.91,18.77,19.44,20.83,22.51,28.65,35.55,21.4,24.24,25.92,27.27,26.32,27.15,15.07,21.48,25.32,31.99,40.13,49.76,49.42,33.84,19.22,27.26,34.61,43.35,50.23,56.45,66.92,74.49,74.07,73.08,71.1
