Статистик үзүүлэлт,Засаг захиргааны нэгж,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Даатгуулсан малын тоо,            Төгрөг,,535.,"1,445.",549.,"1,138.",,"2,125.","5,489.","7,225.","5,410."
Даатгуулсан малын тоо,            Уянга,,10.,"1,943.","2,586.","9,636.","3,198.","12,474.","10,456.","6,674.","4,667."
Даатгуулсан малын тоо,            Хайрхандулаан,,204.,841.,843.,"1,000.",941.,"9,824.","4,713.","17,280.","3,454."
Даатгуулсан малын тоо,            Хархорин,,161.,752.,"4,279.","8,366.","2,079.","3,827.","8,321.","9,376.","12,602."
Даатгуулсан малын тоо,            Хужирт,,20.,"2,041.","2,513.","2,632.","1,085.","1,405.","2,445.","1,981.",310.
Даатгуулсан малын тоо,    Булган,"12,687.","15,447.","24,167.","67,761.","68,225.","37,933.","106,518.","318,995.","243,401.","197,979."
Даатгуулсан малын тоо,        Булган,660.,"2,861.","1,200.","4,080.","6,317.","1,154.","5,365.","7,643.","8,565.","2,533."
Даатгуулсан малын тоо,        Баян-Агт,"1,784.","3,596.","4,049.","7,829.","7,599.","6,565.","11,248.","26,948.","18,271.","13,220."
Даатгуулсан малын тоо,        Баяннуур,286.,447.,"1,821.","4,693.","1,896.",284.,"2,425.","13,295.","14,719.","18,893."
Даатгуулсан малын тоо,        Бугат,47.,43.,8.,653.,"1,780.",356.,"1,597.","7,812.","4,431.","3,657."
Даатгуулсан малын тоо,            Бүрэгхангай,,,"2,424.","7,033.","6,257.","6,039.","4,517.","58,636.","28,590.","24,367."
Даатгуулсан малын тоо,            Гурванбулаг,90.,"2,217.","1,525.","14,990.","16,271.","11,187.","36,357.","30,606.","33,767.","22,300."
Даатгуулсан малын тоо,            Дашинчилэн,"2,034.",749.,553.,"3,947.","3,959.","2,108.","4,176.","28,933.","12,737.","10,938."
Даатгуулсан малын тоо,            Могод,"3,067.",,149.,"1,316.","2,132.",,575.,"17,116.","15,736.","17,252."
Даатгуулсан малын тоо,            Орхон,"1,210.","2,495.","4,764.","6,691.","6,870.",989.,"7,930.","12,538.","8,506.","9,944."
Даатгуулсан малын тоо,            Рашаант,637.,,"1,106.","3,005.","2,146.","5,275.","8,614.","12,780.","8,413.","9,247."
Даатгуулсан малын тоо,            Сайхан,599.,494.,"1,059.","1,451.","3,530.","1,274.","4,549.","26,643.","22,457.","17,748."
Даатгуулсан малын тоо,            Сэлэнгэ,276.,"1,271.","1,255.",842.,348.,,"1,845.","2,521.","9,629.","5,730."
Даатгуулсан малын тоо,            Тэшиг,,,371.,211.,"1,464.",,"1,416.","6,980.","7,127.","5,493."
Даатгуулсан малын тоо,        Хангал,786.,"1,244.","1,446.","2,144.","3,288.",643.,"5,511.","8,679.","7,988.","6,638."
Даатгуулсан малын тоо,            Хишиг-Өндөр,"1,211.",30.,907.,"3,531.","3,463.","1,279.","4,398.","19,450.","16,175.","11,491."
Даатгуулсан малын тоо,            Хутаг-Өндөр,,,"1,530.","5,345.",905.,780.,"5,995.","38,415.","26,290.","18,528."
Даатгуулсан малын тоо,    Баянхонгор,"295,055.","364,604.","549,331.","614,624.","631,445.","631,142.","836,867.","1,142,785.","1,469,508.","943,091."
Даатгуулсан малын тоо,        Баянхонгор,"2,249.","5,715.","12,658.","14,225.","7,348.","3,322.","16,439.","9,591.","15,726.","5,622."
Даатгуулсан малын тоо,        Баацагаан,"3,963.","22,850.","31,956.","46,616.","29,909.","26,712.","45,488.","100,629.","148,944.","87,014."
Даатгуулсан малын тоо,        Баянбулаг,"4,627.","7,815.","5,550.","13,085.","10,669.","6,859.","2,653.","5,396.","20,218.","16,629."
Даатгуулсан малын тоо,        Баянговь,"37,179.","22,073.","29,791.","40,582.","56,768.","49,892.","44,505.","53,718.","105,204.","33,126."
Даатгуулсан малын тоо,            Баянлиг,"10,068.","20,307.","28,230.","28,914.","34,630.","29,890.","37,170.","60,111.","71,036.","67,534."
Даатгуулсан малын тоо,            Баян-Овоо,"3,409.","25,235.","30,801.","38,015.","45,560.","48,259.","39,103.","62,233.","60,283.","34,128."
Даатгуулсан малын тоо,            Баян-Өндөр,"4,913.",197.,"6,944.","22,471.","10,552.","16,461.","31,426.","68,471.","97,487.","47,282."
Даатгуулсан малын тоо,            Баянцагаан,"6,824.","11,135.","28,938.","37,164.","40,823.","63,958.","103,924.","137,545.","204,482.","109,170."
Даатгуулсан малын тоо,            Богд,"13,743.","19,093.","37,789.","34,577.","38,178.","35,942.","49,283.","63,354.","75,726.","50,168."
Даатгуулсан малын тоо,            Бөмбөгөр,"14,168.","13,994.","38,029.","44,123.","29,266.","23,528.","38,810.","41,032.","54,762.","62,485."
Даатгуулсан малын тоо,            Бууцагаан,"18,751.","25,799.","44,483.","42,974.","32,977.","57,812.","126,059.","127,082.","136,135.","103,072."
Даатгуулсан малын тоо,            Галуут,"16,985.","31,767.","17,077.","14,303.","21,845.","10,183.","8,855.","25,860.","26,751.","19,965."
Даатгуулсан малын тоо,            Гурванбулаг,636.,985.,"1,566.","3,876.","3,064.","5,087.","1,260.","6,753.","9,871.","10,560."
Даатгуулсан малын тоо,        Жаргалант,"3,136.","2,957.","3,862.","2,471.","2,747.","3,831.","2,168.","3,855.","12,349.","10,439."
Даатгуулсан малын тоо,            Жинст,"11,630.","21,638.","45,737.","35,858.","69,947.","59,592.","76,499.","84,462.","91,839.","74,548."
Даатгуулсан малын тоо,            Заг,"8,924.","12,047.","9,887.","11,322.","12,637.","11,696.","8,562.","23,964.","22,352.","18,251."
Даатгуулсан малын тоо,            Өлзийт,"25,266.","39,147.","66,525.","54,128.","50,062.","37,222.","38,014.","52,304.","58,565.","58,857."
Даатгуулсан малын тоо,            Хүрээмарал,"71,923.","47,834.","66,351.","84,259.","82,247.","72,618.","90,787.","104,067.","131,586.","44,132."
Даатгуулсан малын тоо,            Шинэжинст,"32,576.","27,111.","31,812.","35,766.","35,328.","34,211.","40,938.","80,796.","98,116.","62,478."
Даатгуулсан малын тоо,            Эрдэнэцогт,"4,085.","6,905.","11,345.","9,895.","16,888.","34,067.","34,924.","31,562.","28,076.","27,631."
Даатгуулсан малын тоо,    Архангай,0.,0.,"375,727.","533,726.","629,487.","191,665.","355,475.","436,880.","484,493.","526,011."
Даатгуулсан малын тоо,        Эрдэнэбулган,,,"17,177.","19,028.","27,923.","2,992.","12,114.","12,770.","17,502.","14,456."
Даатгуулсан малын тоо,        Батцэнгэл,,,"66,844.","91,141.","107,613.","7,963.","30,726.","27,564.","26,253.","53,729."
Даатгуулсан малын тоо,        Булган,,,"3,315.","12,340.","6,317.","2,591.","7,796.","9,130.","17,523.","19,261."
Даатгуулсан малын тоо,        Жаргалант,,,"2,110.","11,112.","3,150.",,"4,184.",329.,"10,130.","12,625."
Даатгуулсан малын тоо,            Ихтамир,,,"23,552.","26,920.","30,898.","1,711.","18,353.","19,536.","24,249.","15,884."
Даатгуулсан малын тоо,            Өгийнуур,,,"29,550.","40,294.","58,755.","7,514.","37,875.","26,922.","19,675.","20,177."
Даатгуулсан малын тоо,            Өлзийт,,,"38,519.","54,844.","49,299.","30,434.","42,106.","71,197.","70,338.","61,139."
Даатгуулсан малын тоо,            Өндөр-Улаан,,,"25,981.","10,694.","27,050.","14,992.","16,276.","11,750.","16,403.","25,345."
Даатгуулсан малын тоо,            Тариат,,,"8,773.","27,211.","32,389.","8,704.","13,718.","14,861.","9,859.","10,695."
Даатгуулсан малын тоо,            Төвшрүүлэх,,,"11,534.","22,503.","16,391.","26,116.","11,199.","11,959.","21,986.","27,610."
Даатгуулсан малын тоо,            Хайрхан,,,"26,563.","38,162.","62,779.","39,311.","51,904.","43,007.","45,543.","69,680."
Даатгуулсан малын тоо,            Хангайн бүс,,,"3,887.","6,056.","2,671.",,"5,650.","4,434.","3,363.","5,154."
Даатгуулсан малын тоо,            Хашаат,,,"48,863.","59,284.","64,537.","6,226.","16,775.","36,082.","52,766.","28,011."
Даатгуулсан малын тоо,        Хотонт,,,"23,513.","33,615.","16,027.","6,160.","20,403.","42,980.","61,065.","58,792."
Даатгуулсан малын тоо,            Цахир,,,"2,384.","5,185.","3,991.",270.,"2,966.","5,163.","6,344.","6,745."
Даатгуулсан малын тоо,            Цэнхэр,,,"11,203.","21,124.","15,274.","5,398.","5,353.","17,187.","21,321.","24,059."
Даатгуулсан малын тоо,            Цэцэрлэг,,,"7,432.","22,835.","41,193.","18,602.","20,526.","28,775.","16,324.","24,703."
Даатгуулсан малын тоо,            Чулуут,,,"9,692.","17,607.","25,299.","4,671.","2,182.","9,205.","16,322.","7,111."
Даатгуулсан малын тоо,            Эрдэнэмандал,,,"14,835.","13,771.","37,931.","8,010.","35,369.","44,029.","27,527.","40,835."
Даатгуулсан малын тоо,    Хөвсгөл,0.,"47,878.","26,569.","23,981.","18,971.","80,727.","40,304.","269,165.","313,534.","364,782."
Даатгуулсан малын тоо,        Мөрөн,,"2,803.",89.,442.,23.,"1,955.","2,390.","13,626.","16,583.","18,278."
Даатгуулсан малын тоо,        Алаг-Эрдэнэ,,"1,843.","1,045.",168.,469.,"1,728.",92.,"12,469.","19,318.","23,177."
Даатгуулсан малын тоо,        Арбулаг,,"6,225.","1,775.","1,011.",0.,"4,324.",0.,"4,014.","7,659.","17,870."
Даатгуулсан малын тоо,        Баянзүрх,,492.,,,134.,388.,"2,475.","6,015.","7,118.","10,223."
Даатгуулсан малын тоо,            Бүрэнтогтох,,"1,678.",453.,650.,"1,205.","4,827.",212.,"8,833.","27,342.","34,727."
Даатгуулсан малын тоо,            Галт,,"1,095.",101.,922.,190.,"15,768.",0.,"43,358.","41,036.","26,709."
Даатгуулсан малын тоо,            Жаргалант,,"12,662.","11,882.","5,128.",620.,"8,771.",0.,"8,181.","9,787.","17,389."
Даатгуулсан малын тоо,            Их-Уул,,"1,998.","3,604.","1,945.",710.,83.,9.,"11,795.","9,293.","9,916."
Даатгуулсан малын тоо,            Рашаант,,"2,114.",462.,147.,237.,"5,087.","1,993.","4,556.","5,152.","7,787."
Даатгуулсан малын тоо,            Ренчинлхүмбэ,,861.,53.,381.,0.,,0.,"4,444.","7,442.","6,934."
Даатгуулсан малын тоо,            Тариалан,,"1,223.",108.,,760.,"18,687.","13,377.","14,207.","25,055.","28,751."
Даатгуулсан малын тоо,            Тосонцэнгэл,,861.,421.,"3,283.","3,892.","4,687.",0.,"28,938.","27,050.","32,099."
Даатгуулсан малын тоо,            Төмөрбулаг,,"2,866.",822.,584.,"6,678.","4,920.","1,419.","48,288.","35,455.","43,864."
Даатгуулсан малын тоо,        Түнэл,,330.,,,0.,"4,010.","2,681.","8,965.","19,767.","22,559."
Даатгуулсан малын тоо,            Улаан-Уул,,792.,"1,643.","2,078.",553.,247.,"1,949.","3,546.","3,705.","10,028."
Даатгуулсан малын тоо,            Ханх,,"1,735.",743.,"1,433.",0.,,0.,"1,865.","3,157.","8,805."
Даатгуулсан малын тоо,            Цагааннуур,,113.,,109.,0.,,0.,"2,115.","2,130.","1,270."
Даатгуулсан малын тоо,            Цагаан-Уул,,"4,373.","2,764.",21.,0.,123.,144.,"16,719.","15,227.","17,003."
Даатгуулсан малын тоо,            Цагаан-Үүр,,"1,162.",123.,,270.,63.,0.,149.,"2,571.",850.
Даатгуулсан малын тоо,            Цэцэрлэг,,889.,320.,"5,013.","3,037.","4,793.",331.,"17,962.","10,340.","5,843."
Даатгуулсан малын тоо,            Чандмань-Өндөр,,466.,,106.,118.,,289.,457.,"1,498.","2,154."
Даатгуулсан малын тоо,            Шинэ-Идэр,,521.,51.,560.,0.,266.,"12,943.","7,745.","10,390.","11,520."
Даатгуулсан малын тоо,            Эрдэнэбулган,,776.,110.,,75.,,0.,918.,"6,459.","7,026."
Даатгуулсан малын тоо,Төвийн бүс,"20,097.","137,305.","241,790.","582,560.","505,528.","441,281.","796,223.","1,086,586.","1,579,300.","1,673,828."
Даатгуулсан малын тоо,    Төв,0.,0.,"20,196.","169,599.","175,802.","181,294.","291,708.","208,298.","275,192.","301,059."
Даатгуулсан малын тоо,        Зуунмод,,,617.,342.,918.,,"6,038.","2,771.","3,907.","1,576."
Даатгуулсан малын тоо,        Алтанбулаг,,,940.,"6,204.","3,194.",416.,"2,664.","4,723.","10,119.","19,824."
Даатгуулсан малын тоо,        Аргалант,,,628.,"10,619.",67.,,"4,001.","3,749.","4,449.","5,179."
Даатгуулсан малын тоо,        Архуст,,,724.,"3,199.",0.,229.,"8,063.","2,530.","6,894.","11,037."
Даатгуулсан малын тоо,            Батсүмбэр,,,,"5,393.",626.,"1,507.","1,527.","1,684.",579.,"2,417."
Даатгуулсан малын тоо,            Баян,,,21.,478.,"1,660.","1,492.","8,864.","7,191.","8,219.","13,126."
Даатгуулсан малын тоо,            Баяндэлгэр,,,"1,670.","3,520.","6,556.","9,590.","4,346.","5,395.","19,778.","15,729."
Даатгуулсан малын тоо,            Баянжаргалан,,,802.,"24,280.","21,032.","15,315.","11,814.","13,319.","21,100.","16,694."
Даатгуулсан малын тоо,            Баян-Өнжүүл,,,"1,748.",720.,398.,"1,565.","6,116.","5,301.","11,239.","15,183."
Даатгуулсан малын тоо,            Баянхангай,,,,573.,0.,,"6,025.","2,497.","4,148.","5,660."
Даатгуулсан малын тоо,            Баянцагаан,,,"1,591.","1,729.","7,647.","4,757.","12,948.","16,290.","26,292.","27,949."
Даатгуулсан малын тоо,            Баянцогт,,,33.,,155.,229.,"4,569.","3,337.","5,518.","7,096."
Даатгуулсан малын тоо,            Баянчандмань,,,184.,"1,837.","5,177.","1,955.","1,661.","1,270.","1,793.","1,829."
Даатгуулсан малын тоо,        Борнуур,,,81.,326.,705.,"1,850.","4,572.","1,585.","1,962.","2,169."
Даатгуулсан малын тоо,            Бүрэн,,,,"29,513.","47,236.","40,681.","41,776.","53,234.","22,415.","20,321."
Даатгуулсан малын тоо,            Дэлгэрхаан,,,,"1,072.","1,391.",415.,"12,670.","8,610.","20,525.","15,098."
Даатгуулсан малын тоо,            Жаргалант,,,,"16,454.","34,697.","37,255.","11,092.","14,501.","7,403.","17,001."
Даатгуулсан малын тоо,            Заамар,,,663.,,0.,,"2,209.",506.,"6,062.","10,230."
Даатгуулсан малын тоо,            Лүн,,,,"1,908.","1,031.","1,588.","13,780.","3,748.","9,857.","17,689."
Даатгуулсан малын тоо,            Мөнгөнморьт,,,"2,056.",278.,"5,006.","4,367.","8,663.","2,065.","5,904.","17,166."
Даатгуулсан малын тоо,            Өндөрширээт,,,"1,070.","1,917.",274.,"6,441.","14,282.","5,512.","10,483.","7,285."
Даатгуулсан малын тоо,            Сүмбэр,,,"1,066.","1,923.",0.,,"2,747.","2,893.","1,585.",617.
Даатгуулсан малын тоо,            Сэргэлэн,,,731.,577.,595.,319.,"4,393.","3,381.","7,867.","3,048."
Даатгуулсан малын тоо,        Угтаал,,,"1,266.","2,998.",0.,,"2,723.",842.,"1,186.","3,806."
Даатгуулсан малын тоо,            Цээл,,,"3,572.","48,187.","30,172.","47,393.","64,031.","30,052.","22,950.","12,007."
Даатгуулсан малын тоо,            Эрдэнэ,,,730.,"1,189.",0.,,"12,254.","2,838.","14,877.","19,015."
Даатгуулсан малын тоо,            Эрдэнэсант,,,3.,"4,363.","7,265.","3,930.","17,880.","8,474.","18,081.","12,308."
Даатгуулсан малын тоо,    Говьсүмбэр,0.,0.,"17,727.","23,669.","7,354.","4,849.","20,129.","43,429.","67,950.","110,791."
Даатгуулсан малын тоо,        Сүмбэр,,,"13,352.","10,990.","2,746.","3,518.","13,231.","34,319.","60,397.","86,946."
Даатгуулсан малын тоо,        Баянтал,,,"3,251.","7,913.","3,188.",994.,"4,391.","2,498.","2,258.","15,898."
Даатгуулсан малын тоо,        Шивээговь,,,"1,124.","4,766.","1,420.",337.,"2,507.","6,612.","5,295.","7,947."
Даатгуулсан малын тоо,    Сэлэнгэ,"11,792.","45,400.","46,015.","44,058.","64,796.","40,767.","68,792.","81,045.","108,625.","81,279."
Даатгуулсан малын тоо,        Сүхбаатар,"1,360.",17.,106.,940.,"1,469.",,952.,220.,"1,337.","1,551."
Даатгуулсан малын тоо,        Алтанбулаг,617.,"1,899.","1,857.","5,110.","2,505.","8,644.","5,482.","1,712.","6,494.","4,620."
Даатгуулсан малын тоо,        Баруунбүрэн,,100.,"1,453.",,75.,,844.,773.,"5,911.","3,032."
Даатгуулсан малын тоо,        Баянгол,510.,,644.,"2,590.","4,210.","5,707.","9,686.","7,349.","11,377.","9,581."
Даатгуулсан малын тоо,            Ерөө,26.,"1,359.",333.,260.,75.,,26.,312.,"1,401.","1,879."
Даатгуулсан малын тоо,            Жавхлант,"1,411.","2,040.","2,582.","1,194.","5,267.","1,372.","4,195.",659.,"5,279.","3,841."
Даатгуулсан малын тоо,            Зүүнбүрэн,220.,"7,464.","6,634.",769.,"1,087.","1,063.","5,964.","6,790.","12,424.","6,873."
Даатгуулсан малын тоо,            Мандал,2.,442.,834.,632.,659.,,"3,129.","13,151.","10,097.","5,503."
Даатгуулсан малын тоо,            Орхон,236.,"2,678.","4,065.","3,282.","4,171.","4,419.","2,464.","7,997.","4,756.","7,392."
Даатгуулсан малын тоо,            Орхонтуул,"1,582.","11,040.","10,964.","10,012.","21,923.","13,212.","19,990.","19,047.","13,937.","6,051."
Даатгуулсан малын тоо,            Сайхан,,"2,248.",444.,810.,828.,,283.,"2,907.","9,215.","4,024."
Даатгуулсан малын тоо,            Сант,236.,833.,199.,,"1,150.",,0.,"6,660.","6,043.","6,021."
Даатгуулсан малын тоо,            Түшиг,,304.,408.,747.,741.,,549.,"2,410.","1,876.","1,694."
Даатгуулсан малын тоо,        Хүдэр,346.,128.,908.,"1,562.",0.,,310.,789.,497.,339.
Даатгуулсан малын тоо,            Хушаат,"4,189.","4,671.","1,151.","5,287.","3,432.",,"2,893.","6,357.","6,368.","2,972."
Даатгуулсан малын тоо,            Цагааннуур,915.,"8,389.","10,107.","9,340.","13,413.","6,350.","11,976.","3,912.","10,776.","14,526."
Даатгуулсан малын тоо,            Шаамар,142.,"1,788.","3,326.","1,523.","3,791.",,49.,0.,837.,"1,380."
Даатгуулсан малын тоо,    Дорноговь,0.,"66,520.","81,051.","131,343.","108,171.","75,982.","267,572.","199,090.","272,982.","306,825."
Даатгуулсан малын тоо,        Сайншанд,,961.,773.,"2,756.","2,369.","1,056.","12,716.","11,383.","19,114.","14,952."
Даатгуулсан малын тоо,        Айраг,,"6,108.","9,940.","12,997.","11,065.","10,663.","38,098.","23,590.","24,453.","24,611."
Даатгуулсан малын тоо,        Алтанширээ,,"1,262.","3,282.","5,988.","4,995.","6,700.","18,869.","7,781.","15,662.","19,241."
Даатгуулсан малын тоо,        Даланжаргалан,,"1,473.",956.,"1,610.","1,291.","1,152.","24,288.","11,265.","19,792.","28,433."
Даатгуулсан малын тоо,            Дэлгэрэх,,"13,764.","14,827.","19,763.","17,626.","5,366.","18,205.","18,890.","37,031.","40,262."
Даатгуулсан малын тоо,            Замын-Үүд,,478.,,"1,873.",778.,"1,980.","1,200.","2,125.","2,339.","1,289."
Даатгуулсан малын тоо,            Иххэт,,"6,910.","4,699.","4,837.","4,485.",957.,"8,293.","5,108.","13,746.","24,892."
Даатгуулсан малын тоо,            Мандах,,"5,996.","6,280.","13,915.","11,475.","3,514.","21,735.","27,175.","24,963.","37,605."
Даатгуулсан малын тоо,            Өргөн,,"4,748.","8,311.","13,611.","7,682.","9,424.","13,441.","15,350.","18,387.","26,296."
Даатгуулсан малын тоо,            Сайхандулаан,,"9,740.","11,166.","12,631.","13,630.","8,424.","24,102.","17,579.","27,006.","23,958."
Даатгуулсан малын тоо,            Улаанбадрах,,"4,222.","1,756.","11,427.","10,488.","8,029.","12,816.","11,721.","17,647.","10,605."
Даатгуулсан малын тоо,            Хатанбулаг,,"1,172.","3,150.","6,441.","5,581.","2,743.","23,381.","22,189.","18,529.","21,167."
Даатгуулсан малын тоо,            Хөвсгөл,,"1,214.","1,983.","8,911.","5,601.","3,912.","25,884.","11,966.","19,750.","15,816."
Даатгуулсан малын тоо,        Эрдэнэ,,"8,472.","13,928.","14,583.","11,105.","12,062.","24,544.","12,968.","14,563.","17,698."
Даатгуулсан малын тоо,    Дархан-Уул,"8,305.","8,756.","9,618.","4,446.","1,537.","4,537.","12,924.","8,893.","5,047.","7,226."
Даатгуулсан малын тоо,        Дархан,"4,241.","1,473.","2,138.",330.,14.,427.,"4,783.","2,723.","2,838.","2,065."
Даатгуулсан малын тоо,        Орхон,865.,"1,102.","3,408.",166.,40.,,675.,25.,101.,"1,157."
Даатгуулсан малын тоо,        Хонгор,"1,664.","4,276.","1,583.","1,607.",420.,"3,895.","3,007.","5,778.",734.,"2,634."
Даатгуулсан малын тоо,        Шарын гол,"1,535.","1,905.","2,489.","2,343.","1,063.",215.,"4,459.",367.,"1,374.","1,370."
Даатгуулсан малын тоо,    Өмнөговь,0.,0.,"23,042.","136,286.","79,462.","34,291.","48,377.","196,241.","274,938.","263,495."
Даатгуулсан малын тоо,        Даланзадгад,,,"1,059.","3,797.","4,154.",354.,"6,416.","16,900.","25,886.","7,832."
Даатгуулсан малын тоо,        Баяндалай,,,116.,"5,226.","4,524.",,0.,"2,438.","8,701.","6,391."
Даатгуулсан малын тоо,        Баян-Овоо,,,"1,561.","1,231.","2,358.",564.,"1,143.","4,856.","6,448.","15,932."
Даатгуулсан малын тоо,        Булган,,,"10,296.","12,358.","16,035.","2,345.","2,895.","18,947.","16,483.","15,097."
Даатгуулсан малын тоо,            Гурвантэс,,,"1,042.","4,990.","1,485.",920.,0.,"9,698.","9,349.","13,930."
Даатгуулсан малын тоо,            Мандал-Овоо,,,"2,804.","2,173.","2,622.",,0.,"15,048.","21,373.","34,071."
Даатгуулсан малын тоо,            Манлай,,,140.,"3,598.","3,307.","3,274.","9,957.","17,972.","28,117.","29,111."
Даатгуулсан малын тоо,            Ноён,,,200.,"69,771.",0.,,"2,209.","14,612.","11,407.","12,853."
Даатгуулсан малын тоо,            Номгон,,,27.,"5,858.","3,374.",731.,601.,"23,806.","33,658.","33,331."
Даатгуулсан малын тоо,            Сэврэй,,,920.,"5,425.","5,868.","3,975.","6,111.","14,885.","27,979.","32,947."
Даатгуулсан малын тоо,            Ханбогд,,,637.,"3,500.","3,172.",,0.,"5,839.","9,636.","6,501."
Даатгуулсан малын тоо,            Ханхонгор,,,927.,"1,684.",622.,427.,"6,674.","3,804.","9,642.","20,199."
Даатгуулсан малын тоо,            Хүрмэн,,,"2,528.","4,828.","14,699.","12,395.","7,318.","32,686.","25,419.","5,108."
Даатгуулсан малын тоо,        Цогт-Овоо,,,785.,121.,83.,27.,88.,"1,101.","13,303.","16,675."
Даатгуулсан малын тоо,            Цогтцэций,,,,"11,726.","17,159.","9,279.","4,965.","13,649.","27,537.","13,517."
Даатгуулсан малын тоо,    Дундговь,0.,"16,629.","44,141.","73,159.","68,406.","99,561.","86,721.","349,590.","574,566.","603,153."
Даатгуулсан малын тоо,        Сайнцагаан,,892.,"2,921.","1,863.","2,942.","12,032.","3,800.","28,481.","68,211.","44,470."
Даатгуулсан малын тоо,        Адаацаг,,,"3,285.","1,184.","4,743.","9,984.","8,501.","39,165.","56,461.","51,927."
Даатгуулсан малын тоо,        Баянжаргалан,,"5,544.","2,619.","2,821.","3,025.","8,795.","3,149.","10,876.","24,271.","25,897."
Даатгуулсан малын тоо,        Говь-Угтаал,,"1,508.","8,471.","19,520.","20,285.","9,282.","7,579.","63,591.","20,184.","33,477."
Даатгуулсан малын тоо,            Гурвансайхан,,650.,"2,163.","13,442.","2,857.","7,655.","11,778.","14,278.","21,150.","38,985."
Даатгуулсан малын тоо,            Дэлгэрхангай,,223.,397.,459.,134.,"1,325.",960.,"8,898.","29,391.","45,757."
Даатгуулсан малын тоо,            Дэлгэрцогт,,184.,"7,810.","10,323.","5,259.","7,079.","9,197.","17,252.","22,701.","26,505."
Даатгуулсан малын тоо,            Дэрэн,,764.,"1,616.","3,547.",715.,"2,481.","1,760.","40,790.","32,617.","33,853."
Даатгуулсан малын тоо,            Луус,,"1,684.","4,310.","3,373.","1,521.","1,631.","1,382.","10,163.","20,716.","29,793."
Даатгуулсан малын тоо,            Өлзийт,,"3,495.","4,321.","3,528.","6,549.","10,696.","9,768.","27,646.","84,677.","85,385."
Даатгуулсан малын тоо,            Өндөршил,,689.,319.,"3,627.","5,281.","3,299.","4,176.","11,811.","20,501.","33,578."
Даатгуулсан малын тоо,            Сайхан-Овоо,,386.,"1,264.",705.,294.,"1,302.","1,357.","11,338.","44,849.","33,236."
Даатгуулсан малын тоо,            Хулд,,35.,"2,132.","5,064.","7,731.","7,959.","11,027.","25,564.","72,044.","53,629."
Даатгуулсан малын тоо,        Цагаандэлгэр,,330.,"1,492.",830.,"2,339.",688.,"6,089.","10,961.","20,726.","15,784."
Даатгуулсан малын тоо,            Эрдэнэдалай,,245.,"1,021.","2,873.","4,731.","15,353.","6,198.","28,776.","36,067.","50,877."
Даатгуулсан малын тоо,Зүүн бүс,"265,164.","321,388.","324,977.","438,345.","372,663.","434,094.","463,287.","620,619.","1,011,158.","1,070,027."
Даатгуулсан малын тоо,    Дорнод,0.,"46,206.","66,767.","95,624.","87,410.","43,391.","73,787.","103,277.","164,828.","204,328."
Даатгуулсан малын тоо,        Хэрлэн,,"1,783.",703.,689.,"1,437.",428.,"3,102.","3,194.","10,658.","8,161."
Даатгуулсан малын тоо,        Баяндун,,,"6,216.","1,302.","3,381.",,731.,"3,834.","7,327.","19,609."
Даатгуулсан малын тоо,        Баянтүмэн,,610.,163.,"6,891.","1,709.","4,833.","3,546.","8,066.","20,086.","23,674."
Даатгуулсан малын тоо,        Баян-Уул,,"1,520.","1,885.","4,899.",0.,101.,"1,258.","4,860.","7,956.","11,506."
Даатгуулсан малын тоо,            Булган,,"9,448.","12,477.","7,998.","3,097.","2,984.","9,303.","4,418.","11,237.","10,244."
Даатгуулсан малын тоо,            Гурванзагал,,"5,406.","10,563.","12,145.","9,834.",25.,"4,314.","6,866.","4,974.","7,679."
Даатгуулсан малын тоо,            Дашбалбар,,"12,001.","15,795.","16,130.","21,087.","6,292.","3,140.","13,447.","23,356.","18,102."
Даатгуулсан малын тоо,            Матад,,"4,497.",735.,"16,519.","10,175.","11,911.","11,696.","16,495.","20,693.","33,435."
Даатгуулсан малын тоо,            Сэргэлэн,,"1,721.","7,198.","7,371.","11,121.","8,066.","5,030.","8,534.","7,857.","15,386."
Даатгуулсан малын тоо,            Халхгол,,"1,558.","2,048.","1,804.","2,325.",337.,"2,195.","8,545.","4,700.","3,652."
Даатгуулсан малын тоо,            Хөлөнбуйр,,"4,709.","5,903.","7,282.","12,767.",150.,"15,822.","4,122.","6,475.","9,376."
Даатгуулсан малын тоо,            Цагаан-Овоо,,"2,207.","1,688.","4,667.","1,785.","7,027.","3,422.","8,340.","19,168.","22,927."
Даатгуулсан малын тоо,            Чойбалсан,,626.,"1,005.","7,632.","8,500.","1,237.","7,120.","8,009.","14,150.","13,159."
Даатгуулсан малын тоо,        Чулуунхороот,,120.,388.,295.,192.,,"3,108.","4,547.","6,191.","7,418."
Даатгуулсан малын тоо,    Сүхбаатар,"119,053.","167,107.","149,145.","188,359.","179,534.","143,499.","147,921.","200,131.","280,594.","333,026."
Даатгуулсан малын тоо,        Баруун-Урт,"2,697.","1,088.","1,440.","1,001.","2,502.","1,195.","7,176.","12,380.","10,043.","24,219."
Даатгуулсан малын тоо,        Асгат,"4,471.","7,288.","4,369.","4,530.","7,861.","10,195.","11,586.","12,004.","24,362.","14,061."
Даатгуулсан малын тоо,        Баяндэлгэр,"8,085.","16,571.","14,721.","19,028.","19,030.","16,793.","23,112.","28,102.","35,835.","38,568."
