Index,Bag,ProvinceName,Sumd,StockType,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
178,        Алтай,Говь-Алтай,Алтай,Хонь,21.63,23.68,24.72,23.81,22.25,22.68,23.73,22.98,24.42,24.93,26.28,25.46,24.58,25.27,23.13,21.88,17.99,19.97,21.65,28.29,25.45,26.17,29.01,28.78,28.85,27.25,25.65,25.68,27.63,26.57,25.66,19.31,13.02,13.3,14.42,15.31,17.07,19.13,17.85,12.56,6.15,6.5,7.71,10.18,12.36,14.74,18.97,24.5,27.28
184,        Баян-Уул,Говь-Алтай,Баян-Уул,Хонь,56.96,58.96,57.82,55.39,54.7,58.69,59.81,62.22,65.76,64.98,67.88,65.33,67.86,63.65,63.56,67.33,68.39,69.4,72.52,72.8,75.36,65.76,69.83,65.45,68.58,69.59,65.62,66.58,64.48,71.59,70.56,62.42,27.78,35.18,42.55,51.59,60.57,63.93,64.07,58.16,29.03,39.31,50.07,59.01,68.63,75.32,91.56,88.06,68.97
190,        Бигэр,Говь-Алтай,Бигэр,Хонь,28.79,29.07,31.71,32.36,33.17,33.9,34.61,35.51,36.29,34.77,36.22,38.57,38.8,40.12,30.58,35.65,34.6,36.98,35.7,39.61,40.44,36.87,40.19,39.6,43.12,41.02,36.45,34.97,32.36,25.63,26.25,22.66,12,13.52,15.66,18.3,21.03,23.71,22.03,20.97,16.11,19.06,25.5,28.64,32.8,36.85,43.57,49.09,41.08
196,          Бугат,Говь-Алтай,Бугат,Хонь,55.83,60.35,57.75,60.36,65.23,67.86,68.85,70.73,76.34,79.01,79.02,81.43,74.01,76.59,69.14,68.62,70.28,75.11,76.39,73.94,81.3,80.31,84.93,70.58,64.22,60.56,58.53,49.79,48.47,50.1,53.71,40.1,39.69,38.56,44.61,50.53,56.69,59.38,57.13,46.01,19.19,20.28,22.91,24.77,30.69,38.63,48.11,57.82,58.44
202,          Дарив,Говь-Алтай,Дарив,Хонь,43,47.81,47.02,51.33,44.91,48.23,45.76,42.24,44.57,47.41,43.33,46.07,47.81,45.5,29.55,39.95,41.05,41.94,43.91,45.73,48.27,49.02,53.31,54.04,52.48,49.95,45.67,45.55,42.1,47.11,45.03,33.75,19.68,25.58,34.64,44.11,53.94,49.06,51.5,51.97,30.76,33.73,39.93,46.04,54.91,62.06,75.46,68.22,41.46
208,          Дэлгэр,Говь-Алтай,Дэлгэр,Хонь,44.82,42.39,45.65,48.74,47.5,49.98,50.74,52.96,53.05,54.23,53.64,54.68,50.13,47.05,34.99,42.01,42.86,42.85,40.09,45.67,51.84,45.34,72.21,62.55,63.15,63.33,59.83,59.25,56.14,57.02,62.18,44.59,17.52,21.52,26.28,36.38,45.61,53.43,59.01,56.66,34.01,40.75,54.3,64.87,74.55,81.74,91.45,101.48,97.95
214,          Жаргалан,Говь-Алтай,Жаргалан,Хонь,29.2,30.3,29.52,30.59,33.27,33.59,33.05,32.64,34.04,33.28,33.85,33.98,34.04,28.77,30.16,31.35,31.16,32.18,32.55,34.57,36.27,41.27,44.43,45.34,43.46,45.4,44.23,46.17,45.74,47.37,42.75,41.86,30.55,31.59,37.08,44.64,56.57,67.04,68.1,52.42,18.02,20.8,29.76,34.93,43.03,47.77,58.43,66.55,63.84
220,          Тайшир,Говь-Алтай,Тайшир,Хонь,55.47,58.14,60.47,71.4,74.37,73.65,76.49,81.18,79.57,80.55,76.21,72.82,67.33,68.76,52.17,57.68,59.51,63.71,65.86,68.77,71.91,73.31,72.83,61.5,65.7,62.86,34.49,36.42,34.73,34.88,32.16,29.18,11.2,13.37,15.22,19.68,23.92,28.28,28.91,22.1,11.45,14.6,20.79,25.63,31.08,36.35,43.99,48.77,49.26
226,          Тонхил,Говь-Алтай,Тонхил,Хонь,59.27,63.44,59.38,61.29,59.02,65.93,73.76,80.5,86.31,92.87,94.86,97.34,91.9,90.37,84.7,94.14,99.02,102.91,104.28,99.13,106.05,98.62,98.69,100.26,100.38,102.62,100.48,90.62,83.98,79.31,78.08,69.32,61.97,62.47,73.35,85.28,97.8,100.19,91.12,89.74,52.33,55.65,61.57,68.65,82.27,95,113.58,126.28,108.67
232,          Төгрөг,Говь-Алтай,Төгрөг,Хонь,41.73,43.2,39.09,43.45,41.31,41.47,44.76,46.12,47.7,47.87,51.47,51.96,55.18,47.31,45.31,56.53,53.83,57.51,60.63,52.5,54.49,53.54,56.23,55.23,53.87,50.31,47.01,47.68,39.8,36.18,35.25,31.08,16.45,17.02,20.68,25.97,30.65,35.88,35.67,37.33,24.9,27,32.27,35.24,40.86,47.58,55.78,62.52,36.77
238,          Халиун,Говь-Алтай,Халиун,Хонь,43.49,47.12,41.7,47.24,46.12,46.68,50.59,54.08,54.04,53.62,48.5,47.45,47.27,49.22,45.85,53.74,54.91,59.71,62.99,65.55,61.21,62.6,62.97,62.88,66.33,61.8,56.8,55.98,58.08,60.13,60.61,48.6,16.9,20.54,25.02,31.97,37.83,42.52,45.03,41.42,29,34.47,36.85,43.7,52.58,61.7,74.72,74.65,66.54
