Index,Bag,Aimag,Soumd,ProvinceName,StockType,StockTypeE,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
83,          Отгон,Завхан,Отгон,Otgon,Ямаа,goats,11.54,12.33,13.17,14.37,13.8,13.88,12.29,14.11,16.63,17.17,17.43,16.62,16.79,11.51,8.85,7.98,9.22,9.78,8.76,10.11,10.83,12.56,14.33,14.55,19.37,24.9,29.77,32.64,36.76,36,29.34,27.36,27.96,37.79,38.04,43.35,54.95,66.46,69.18,72.75,38.22,43.54,49.07,55.28,59.82,65.33,70.35,74.74,83.53
89,          Сантмаргац,Завхан,Сантмаргац,Santamargats,Ямаа,goats,16.59,18.82,19.65,20.15,19.16,17.18,17.75,16.24,18.29,17.48,16.05,11.08,13.53,13.84,11.98,13.53,14.5,14.67,15.86,16.81,18.24,17.84,17.66,20.74,26.94,31.87,33.68,37.29,42.27,37.64,31.39,32.56,33.59,39.45,47.22,44.1,55.5,65.33,56.06,48.73,40.43,45.69,47.35,51.58,59.46,62.58,61.58,68.18,56.66
95,          Сонгино,Завхан,Сонгино,Songino,Ямаа,goats,13.11,13.27,11.26,10.22,10.37,10.74,11.46,10.14,11.25,10.85,9.24,8.31,8.74,9.25,7.67,8.04,8.52,8.9,9.65,10.78,11.43,10.6,10.59,10.99,13.36,15.53,18,20.26,20.01,18.85,16.28,13.95,18.59,23.9,29.14,32.31,38.27,41.75,43.76,37.5,15.78,20.91,23.94,24.96,28.04,32.42,35.67,37.1,35.7
101,        Тосонцэнгэл,Завхан,Тосонцэнгэл,Tosontengel,Ямаа,goats,0.55,0.64,0.27,0.24,0.23,0.3,0.36,0.42,0.67,0.7,0.82,0.93,0.87,0.86,0.84,1.06,1.08,0.97,0.97,1.64,2.16,2.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.73,13.24,16.67,22.28,29.29,38.4,49.22,61.99,67.04,61.08,37.47,43.36,44.37,47.16,54.46,59.28,61.71,57.55,60.13
107,          Түдэвтэй,Завхан,Түдэвтэй,Tudevtei,Ямаа,goats,5.4,5.53,6.22,6.5,6.72,6.51,7.11,6.11,6.88,7.1,6.46,5.97,5.44,5.42,4.4,3.64,3.82,4.08,4.39,5,4.65,4.11,4.41,5.19,7.05,9.23,11.1,13.14,13.75,13.67,11.42,7.95,10.62,14.44,18.69,24.43,32.36,40.78,40.1,31.39,16.46,20.15,22.62,24.24,27.63,30.65,31.55,32.4,35.7
113,          Тэлмэн,Завхан,Тэлмэн,Telmen,Ямаа,goats,5.28,5.6,5.68,5.65,5.79,6.2,6.39,6.34,6.91,7.29,7.43,7.16,7.54,7.5,8.02,7.38,7.86,8.23,8.25,9.04,9.39,8.48,8.68,8.63,11.86,15.44,19.19,23.56,27.23,25.09,22.84,11.28,15.45,19.6,25.18,30.89,37.74,44.24,47.06,35.21,24.31,28,31.21,33.34,35.84,38.72,40.19,36.44,36.69
119,          Тэс,Завхан,Тэс,Tes,Ямаа,goats,14.66,15.64,15.92,NaN,0.31,2.53,2.72,2.78,2.78,2.85,3.24,2.56,2.51,2.57,2.55,2.6,2.83,2.98,3.25,3.58,5.2,14.94,15.45,19.5,23.75,27.91,27.39,29.66,30.36,24.55,22.98,23.21,26.45,23.53,32.72,35.13,42.31,46.57,40.79,38.44,31.7,34.04,36.7,37.64,41.18,45.91,35.79,39.12,40.54
125,          Ургамал,Завхан,Ургамал,Urgamal,Ямаа,goats,18.98,19.92,20.62,20.77,20.53,20.81,20.22,18.13,20.18,18.32,19.56,18.33,20.19,20.78,16.34,19.7,21,21.82,23.63,24.65,25.8,24.75,25.53,30.48,36.71,43.27,43.73,47.63,49.87,42.01,31.14,38.52,28.05,40.03,48.1,47.85,53.1,60.94,52.89,41.52,32.99,38.58,43.16,48.08,52.61,58.17,60.53,51.68,38.06
131,          Цагаанхайрхан,Завхан,Цагаанхайрхан,Tsagaanhairhan,Ямаа,goats,10.02,10.28,10.04,10.3,9.74,10.44,10.69,9.16,9.6,9.09,7.98,7.16,7.21,6.68,6.5,6.48,6.63,6.55,6.65,7.5,7.68,7.1,7.7,9.25,12.37,16.38,18.51,19.65,21.07,20.57,20.51,19.39,19.82,23.11,25.77,28.52,34.56,39.85,40.24,38.62,19.21,23.25,26.92,29.62,33.49,37.12,41.07,46.43,47.56
137,          Цагаанчулуут,Завхан,Цагаанчулуут,Tsagaanchuluut,Ямаа,goats,12.08,12.81,12.5,12.92,12.99,13.49,12.79,11,12.06,11.36,10.8,10.49,12.73,12.05,11.45,11.9,12.37,11.65,11.99,13.06,14.19,14.38,15.41,16.04,20.85,25.55,27.83,28.74,29.83,28.91,27.41,27.01,24.85,27.61,31.82,34.75,41.02,46.86,43.34,38.64,16.01,20.29,23.87,27.11,31.4,35.04,40.26,44.84,45.37
