"МОНГОЛ УЛСАД ОРШИН СУУГАА ХҮН АМЫН ТОО, баг/хороо, хот/хөдөөгөөр
",,,,,,
"Баг, хороо",2014,2015,2016,2017,2018,2019
"                            3-р баг, Олон булаг",651.,677.,683.,685.,670.,631.
"                            4-р баг, Чацран",415.,406.,407.,425.,459.,474.
                    Хөхморьт,"2,320.","2,332.","2,379.","2,373.","2,367.","2,353."
"                            1-р баг, Цоохор",520.,513.,514.,522.,516.,505.
"                            2-р баг, Завхан гол",456.,454.,475.,479.,487.,480.
"                            3-р баг, Сангийн далай",421.,423.,436.,441.,422.,435.
"                            4-р баг, Хүйсийн говь",503.,535.,553.,544.,548.,542.
"                            5-р баг, Сайн-Уст",420.,407.,401.,387.,394.,391.
                Цогт,"3,387.","3,513.","3,549.","3,579.","3,585.","3,503."
"                        1-р баг, Рашаант",353.,355.,360.,356.,358.,358.
"                        2-р баг, Далан",352.,359.,360.,367.,371.,352.
"                        3-р баг, Гэгээт",324.,333.,333.,338.,308.,299.
"                        4-р баг, Төгрөг",639.,661.,673.,685.,694.,683.
"                        5-р баг, Баян-Өндөр",674.,669.,679.,689.,686.,658.
"                        6-р баг, Баян-Улаан",312.,316.,330.,336.,341.,359.
"                        7-р баг, Баян тоорой",733.,820.,814.,808.,827.,794.
                    Цээл,"2,102.","2,101.","2,109.","2,164.","2,207.","2,226."
"                            1-р баг, Бүрэн",477.,491.,502.,527.,531.,523.
"                            2-р баг, Баянгол",532.,541.,543.,545.,557.,588.
"                            3-р баг, Дэрстэй",467.,461.,453.,480.,489.,489.
"                            4-р баг, Жаргалт",626.,608.,611.,612.,630.,626.
                    Чандмань,"2,139.","2,176.","2,180.","2,218.","2,247.","2,216."
"                            1-р баг, Чандмань-Уул",579.,596.,595.,606.,622.,388.
"                            2-р баг, Өлзийбулаг",541.,561.,577.,590.,588.,359.
"                            3-р баг, Эрдэнэ-Уул",579.,588.,575.,569.,578.,407.
"                            4-р баг, Хүрхрээ",440.,431.,433.,453.,459.,340.
"                            5-р баг, Талын шанд",,,,,,722.
                    Шарга,"1,980.","1,971.","1,937.","1,937.","1,936.","1,957."
"                            1-р баг, Баянгол",827.,832.,814.,798.,810.,816.
"                            2-р баг, Хамтын хүч",391.,395.,390.,394.,398.,424.
"                            3-р баг, Сондуулт",323.,321.,320.,314.,311.,316.
"                            4-р баг, Улаан туг",439.,423.,413.,431.,417.,401.
                    Эрдэнэ,"2,180.","2,151.","2,179.","2,219.","2,327.","2,282."
"                            1-р баг, Сангийн далай",513.,509.,524.,552.,568.,550.
"                            2-р баг, Цэцэг нуур",548.,537.,536.,543.,569.,565.
"                            3-р баг, Цагаан-Уул",530.,516.,524.,546.,587.,577.
"                            4-р баг, Өлзийт",589.,589.,595.,578.,603.,590.
            Баян-Өлгий,"93,165.","97,787.","99,346.","101,591.","103,765.","103,908."
                Өлгий,"30,338.","33,420.","34,007.","35,118.","36,930.","37,326."
"                        1-р баг, Хуст арал","3,008.","3,273.","3,527.","3,567.","3,606.","3,607."
"                        2-р баг, Цагаан эрэг","2,652.","2,490.","2,494.","2,520.","2,609.","2,661."
"                        3-р баг, Бөхөн-Уул","2,378.","3,009.","3,092.","3,278.","3,478.","3,623."
"                        4-р баг, Их булан","2,419.","2,967.","3,009.","3,110.","3,241.","3,324."
"                        5-р баг, Ховд гол","2,757.","2,709.","2,736.","2,723.","2,889.","2,844."
"                        6-р баг, Хөх толгой","2,768.","2,804.","2,842.","2,958.","3,219.","3,507."
"                        7-р баг, Хотгор",568.,584.,584.,578.,572.,556.
"                        8-р баг, Ах хус тау","2,236.","2,495.","2,458.","2,559.","2,518.","2,502."
"                        9-р баг, Хөх хад","2,647.","2,842.","2,916.","3,004.","3,034.","3,082."
"                        10-р баг, Харасай","2,412.","2,621.","2,676.","2,718.","3,000.","3,009."
"                        11-р баг, Бүркит","2,311.","2,658.","2,672.","2,752.","2,729.","2,540."
"                        12-р баг, Жасыл бах","1,829.","2,239.","2,267.","2,476.","2,653.","2,692."
"                        13-р баг, Жанаауыл","2,353.","2,729.","2,734.","2,875.","3,382.","3,379."
                Алтай,"3,983.","4,143.","4,212.","4,257.","4,241.","4,242."
"                        1-р баг, Хар нуур",964.,"1,016.","1,021.","1,038.","1,044.","1,030."
"                        2-р баг, Улаан хад",399.,420.,422.,413.,401.,405.
"                        3-р баг, Бардам",841.,881.,901.,907.,893.,895.
"                        4-р баг, Чихэртэй",957.,"1,041.","1,056.","1,065.","1,065.","1,072."
"                        5-р баг, Борбургас",822.,785.,812.,834.,838.,840.
                Алтанцөгц,"2,684.","2,787.","2,792.","2,814.","2,849.","2,882."
"                        1-р баг, Хаш",580.,620.,595.,608.,625.,634.
"                        2-р баг, Баянбулаг",599.,612.,625.,630.,645.,643.
"                        3-р баг, Улаанхаргана",709.,711.,709.,716.,738.,726.
"                        4-р баг, Цагаан түнгэ",796.,844.,863.,860.,841.,879.
                Баяннуур,"4,794.","4,825.","4,913.","4,978.","4,930.","4,839."
"                        1-р баг, Цэцэгт","1,000.","1,027.","1,023.","1,031.","1,016.","1,008."
"                        2-р баг, Баяннуур",954.,972.,997.,"1,002.","1,006.",971.
"                        3-р баг, Цагаан арал",909.,931.,933.,929.,917.,917.
"                        4-р баг, Шар цэхээ",921.,910.,948.,970.,941.,945.
"                        5-р баг, Цул улаан","1,010.",985.,"1,012.","1,046.","1,050.",998.
                    Бугат,"3,487.","3,626.","3,781.","3,790.","3,870.","3,844."
"                            1-р баг, Хатуу",841.,862.,881.,904.,901.,883.
"                            2-р баг, Улаан толгой",639.,663.,706.,712.,702.,706.
                            3-р баг,877.,928.,962.,"1,240.","1,312.",706.
"                            4-р баг, Буга","1,130.","1,173.","1,232.",934.,955.,872.
"                            5-р баг, Их булан",,,,,,677.
                    Булган,"5,216.","5,095.","5,144.","5,183.","5,192.","5,041."
"                            1-р баг, Улаагчин",364.,395.,370.,365.,358.,352.
"                            2-р баг, Сайхан",819.,836.,839.,878.,875.,856.
"                            3-р баг, Булган",849.,801.,829.,843.,817.,770.
"                            4-р баг, Жаргалант","1,018.",985.,991.,982.,983.,975.
"                            5-р баг, Хужирт",805.,791.,795.,800.,832.,803.
"                            6-р баг, Сөнхөл",562.,516.,538.,536.,540.,530.
"                            7-р баг, Улаанхус",799.,771.,782.,779.,787.,755.
                    Буянт,"2,592.","2,698.","2,767.","2,846.","2,818.","2,801."
"                            1-р баг, Хөх эрэг",626.,659.,674.,687.,659.,661.
"                            2-р баг, Хөлцөөт",647.,658.,670.,688.,706.,696.
"                            3-р баг, Өмнөгол",640.,680.,693.,736.,719.,696.
"                            4-р баг, Шар тохойт",679.,701.,730.,735.,734.,748.
                    Дэлүүн,"6,994.","7,118.","7,140.","7,331.","7,437.","7,353."
"                            1-р баг, Далакөл",381.,423.,395.,412.,416.,411.
