"МОНГОЛ УЛСАД ОРШИН СУУГАА ХҮН АМЫН ТОО, баг/хороо, хот/хөдөөгөөр
",,,,,,
"Баг, хороо",2014,2015,2016,2017,2018,2019
"                            5-р баг, Туяа",398.,379.,411.,427.,400.,419.
"                            6-р баг, Эрчим",410.,432.,437.,522.,565.,559.
                    Галт,"5,194.","5,242.","5,347.","5,494.","5,483.","5,430."
"                            1-р баг, Нүхт","1,125.","1,138.","1,143.","1,170.","1,154.","1,156."
"                            2-р баг, Зүрх","1,306.","1,314.","1,307.","1,341.","1,348.","1,332."
"                            3-р баг, Рашаант","1,067.","1,083.","1,147.","1,168.","1,175.","1,163."
"                            4-р баг, Хужирт",819.,835.,855.,885.,887.,893.
"                            5-р баг, Галт",877.,872.,895.,930.,919.,886.
                    Жаргалант,"5,181.","5,189.","5,241.","5,319.","5,428.","5,548."
"                            1-р баг, Хөнжил","1,108.","1,106.","1,123.","1,160.","1,195.","1,204."
"                            2-р баг, Цэцүүх","1,164.","1,173.","1,187.","1,207.","1,226.","1,252."
"                            3-р баг, Цагаан бургас","1,078.","1,113.","1,133.","1,121.","1,130.","1,138."
"                            4-р баг, Харгана",542.,577.,588.,574.,575.,589.
"                            5-р баг, Оргил","1,289.","1,220.","1,210.","1,257.","1,302.","1,365."
                    Их-Уул,"4,047.","4,001.","4,082.","4,129.","4,163.","4,110."
"                            1-р баг, Шивээ","1,125.","1,136.","1,152.","1,161.","1,178.","1,188."
"                            2-р баг, Их-Уул",535.,570.,596.,604.,640.,515.
"                            3-р баг, Асгат",477.,461.,478.,493.,500.,640.
"                            4-р баг, Мандал",671.,652.,660.,685.,703.,702.
"                            5-р баг, Сэлэнгэ","1,239.","1,182.","1,196.","1,186.","1,142.","1,065."
                    Рашаант,"3,662.","3,642.","3,688.","3,740.","3,828.","3,794."
"                            1-р баг, Тээл",544.,557.,558.,569.,585.,599.
"                            2-р баг, Талын ус",728.,753.,760.,781.,846.,849.
"                            3-р баг, Энх тал",554.,549.,569.,578.,585.,562.
"                            4-р баг, Цэнгэл","1,057.","1,013.","1,013.","1,005.",988.,926.
"                            5-р баг, Их ац",779.,770.,788.,807.,824.,858.
                    Рэнчинлхүмбэ,"4,841.","4,839.","4,885.","4,907.","4,904.","4,863."
"                            1-р баг, Хөндий","1,052.","1,038.","1,033.","1,050.","1,067.","1,059."
"                            2-р баг, Хоолойн зах",990.,"1,004.","1,019.","1,020.","1,011.","1,000."
"                            3-р баг, Ходон",625.,622.,627.,631.,619.,623.
"                            4-р баг, Далайн зах",671.,674.,686.,689.,710.,700.
"                            5-р баг, Ёлт",732.,733.,736.,736.,720.,727.
"                            6-р баг, Зөөлөн",771.,768.,784.,781.,777.,754.
                    Тариалан,"5,753.","5,749.","5,876.","6,096.","6,218.","6,209."
"                            1-р баг, Мандал","3,045.","2,995.","3,036.","3,149.","3,145.","1,480."
"                            2-р баг, Ар тархи",566.,582.,624.,657.,710.,694.
"                            3-р баг, Таван толгой",619.,654.,676.,686.,713.,724.
"                            4-р баг, Сэлэнгэ",505.,519.,523.,556.,565.,555.
"                            5-р баг, Баянхошуу",712.,696.,713.,725.,728.,727.
"                            6-р баг, Давааны ар",306.,303.,304.,323.,357.,371.
"                            7-р баг, Бадрах",,,,,,"1,658."
                    Тосонцэнгэл,"4,047.","4,156.","4,261.","4,344.","4,394.","4,451."
"                            1-р баг, Мухар хөндий",720.,749.,752.,769.,790.,771.
"                            2-р баг, Сэлэнгэ",738.,723.,739.,758.,773.,826.
"                            3-р баг, Тээл",812.,817.,860.,884.,900.,914.
"                            4-р баг, Сүүл Улаан",694.,680.,685.,702.,701.,680.
"                            5-р баг, Цэнгэл","1,083.","1,187.","1,225.","1,231.","1,230.","1,260."
                    Төмөрбулаг,"4,238.","4,209.","4,282.","4,367.","4,373.","4,315."
"                            1-р баг, Жаргалант","1,060.","1,019.","1,051.","1,049.","1,034.","1,011."
"                            2-р баг, Нарийн",679.,688.,690.,698.,706.,716.
"                            3-р баг, Тариат",741.,765.,787.,831.,864.,875.
"                            4-р баг, Тээл",941.,933.,943.,941.,921.,905.
"                            5-р баг, Сумын төв",817.,804.,811.,848.,848.,808.
                Түнэл,"3,827.","4,056.","4,116.","4,214.","4,298.","4,323."
"                        1-р баг, Зуны гол",477.,498.,509.,530.,525.,520.
"                        2-р баг, Навчилтай",501.,509.,514.,529.,529.,539.
"                        3-р баг, Баян-Эрхэт",219.,261.,268.,283.,325.,331.
"                        4-р баг, Алтгана",390.,406.,427.,446.,463.,477.
"                        5-р баг, Бийж",794.,840.,850.,875.,892.,947.
"                        6-р баг, Булаг","1,446.","1,542.","1,548.","1,551.","1,564.","1,509."
                    Улаан-Уул,"4,210.","4,224.","4,263.","4,259.","4,233.","4,242."
"                            1-р баг, Шивлэг",697.,700.,709.,720.,713.,699.
"                            2-р баг, Тоом",647.,654.,665.,663.,634.,631.
"                            3-р баг, Мунгараг",776.,790.,784.,789.,798.,793.
"                            4-р баг, Соёо",667.,672.,680.,687.,686.,703.
"                            5-р баг, Төгөл","1,423.","1,408.","1,425.","1,400.","1,402.","1,043."
"                            6-р баг, Гун баг",,,,,,373.
                    Ханх,"2,631.","2,446.","2,729.","2,783.","2,822.","2,818."
"                            1-р баг, Тураг",568.,585.,596.,628.,654.,394.
"                            2-р баг, Хороо",525.,526.,560.,551.,561.,513.
"                            3-р баг, Турт /төвийн баг/","1,538.","1,335.","1,573.","1,604.","1,607.","1,502."
                            4-р баг Баясгалант,,,,,,409.
                    Цагааннуур,"1,778.","1,830.","1,893.","1,950.","1,978.","1,979."
"                            1-р баг, Гурвансайхан",847.,881.,899.,916.,901.,872.
"                            2-р баг, Хармай",931.,949.,994.,"1,034.","1,077.","1,107."
                    Цагаан-Уул,"5,347.","5,430.","5,536.","5,641.","5,728.","5,699."
"                            1-р баг, Агар","1,007.","1,025.","1,019.","1,018.","1,029.","1,020."
"                            2-р баг, Өвгөд",727.,738.,737.,752.,791.,812.
"                            3-р баг, Тосон","1,021.","1,042.","1,092.","1,108.","1,125.","1,143."
"                            4-р баг, Хужирт",821.,856.,885.,929.,938.,942.
"                            5-р баг, Шарга",849.,863.,885.,909.,929.,926.
"                            6-р баг, Жаргалант",922.,906.,918.,925.,916.,856.
                    Цагаан-Үүр,"2,509.","2,566.","2,607.","2,650.","2,684.","2,671."
"                            1-р баг, Уялган",611.,629.,644.,659.,662.,674.
"                            2-р баг, Үүр",537.,538.,551.,547.,554.,550.
"                            3-р баг, Дархинт",391.,393.,398.,404.,422.,410.
"                            4-р баг, Булган",970.,"1,006.","1,014.","1,040.","1,046.","1,037."
                    Цэцэрлэг,"4,734.","4,513.","4,520.","4,538.","4,738.","4,658."
"                            1-р баг, Дэлгэрхаан",734.,713.,716.,713.,734.,722.
"                            2-р баг, Зуун мод",926.,896.,905.,909.,895.,896.
"                            3-р баг, Могой /Рэнчинжугнай/",547.,517.,523.,535.,611.,607.
"                            4-р баг, Согоот",871.,834.,833.,844.,852.,848.
"                            5-р баг, Халбан",804.,719.,716.,704.,792.,746.
"                            6-р баг, Жаргалант",491.,498.,502.,513.,536.,530.
"                            7-р баг, Бүрхээр",361.,336.,325.,320.,318.,309.
                    Чандмань-Өндөр,"3,012.","3,039.","3,070.","3,058.","3,126.","3,073."
"                            1-р баг, Шивэрт",512.,522.,527.,532.,549.,536.
"                            2-р баг, Ёлгос",447.,437.,448.,454.,467.,458.
"                            3-р баг, Улаан асга",516.,519.,532.,525.,539.,545.
"                            4-р баг, Хөхөө",984.,987.,996.,980.,"1,019.",990.
"                            5-р баг, Хайрхан толгой",553.,574.,567.,567.,552.,544.
                    Шинэ-Идэр,"3,218.","3,198.","3,274.","3,278.","3,278.","3,185."
"                            1-р баг, Сангийн далай",837.,851.,875.,869.,899.,897.
"                            2-р баг, Баяннуур",780.,786.,796.,789.,777.,731.
"                            3-р баг, Баянзүрх",828.,800.,826.,827.,819.,810.
"                            4-р баг, Нүхт",773.,761.,777.,793.,783.,747.
                    Эрдэнэбулган,"2,770.","2,797.","2,903.","2,988.","3,056.","3,017."
"                            1-р баг, Бөөрөлж",463.,475.,500.,526.,531.,531.
"                            2-р баг, Булган тал",477.,487.,498.,524.,531.,511.
"                            3-р баг, Зэрлэг",365.,379.,392.,423.,460.,463.
"                            4-р баг, Дуурга","1,181.","1,169.","1,220.","1,226.","1,229.","1,194."
"                            5-р баг, Удган",284.,287.,293.,289.,305.,318.
    Төвийн бүс,"475,899.","477,159.","492,021.","502,728.","511,531.","506,195."
            Төв,"90,049.","89,765.","92,832.","94,462.","95,045.","92,409."
                Зуунмод,"16,094.","15,942.","16,736.","16,953.","17,279.","16,677."
"                        1-р баг, Номт","4,235.","4,133.","4,283.","4,253.","4,459.","4,323."
"                        2-р баг, Ланс","2,912.","2,881.","3,049.","3,135.","3,080.","3,017."
"                        3-р баг, Баянхошуу","1,563.","1,632.","1,793.","1,819.","1,912.","1,759."
"                        4-р баг, Зүүндэлгэр","1,141.","1,189.","1,267.","1,338.","1,423.","1,391."
"                        5-р баг, Нацагдорж","3,145.","3,095.","3,146.","3,122.","3,161.","3,088."
"                        6-р баг, Баруун зуунмод","3,098.","3,012.","3,198.","3,286.","3,244.","3,099."
                Алтанбулаг,"3,106.","3,040.","3,099.","3,260.","3,233.","3,152."
"                        1-р баг, Сумт",891.,825.,831.,907.,878.,839.
"                        2-р баг, Аргал",842.,849.,861.,914.,908.,884.
"                        3-р баг, Алтан-Овоо",792.,800.,822.,829.,831.,811.
"                        4-р баг, Замт",581.,566.,585.,610.,616.,618.
                Аргалант,"1,616.","1,694.","1,746.","1,672.","1,679.","1,529."
"                        1-р баг, Аргалын уул",840.,812.,850.,838.,848.,785.
"                        2-р баг, Хөшөөт",776.,882.,896.,834.,831.,744.
                Архуст,"1,254.","1,251.","1,289.","1,322.","1,358.","1,327."
"                        1-р баг, Ноён шанд",586.,580.,611.,573.,593.,559.
"                        2-р баг, Нарст",668.,671.,678.,749.,765.,768.
                    Батсүмбэр,"6,787.","6,792.","7,081.","7,113.","7,052.","6,861."
"                            1-р баг, Мандал","2,704.","2,714.","2,766.","2,776.","2,754.","2,704."
"                            2-р баг, Цогт-Өндөр","1,567.","1,657.","1,719.","1,747.","1,734.","1,695."
"                            3-р баг, Баянгол","1,390.","1,361.","1,482.","1,424.","1,392.","1,363."
"                            4-р баг, Үдлэг","1,126.","1,060.","1,114.","1,166.","1,172.","1,099."
                    Баян,"2,063.","2,139.","2,162.","2,198.","2,222.","2,305."
"                            1-р баг, Цант",370.,417.,389.,416.,418.,400.
"                            2-р баг, Өгөөмөр",382.,425.,"1,338.",457.,439.,417.
"                            3-р баг, Цавчир","1,311.","1,297.",435.,"1,325.","1,365.","1,488."
                    Баяндэлгэр,"1,330.","1,394.","1,431.","1,498.","1,561.","1,564."
"                            1-р баг, Байдлаг",666.,690.,686.,722.,728.,768.
"                            2-р баг, Галуут",664.,704.,745.,776.,833.,796.
                    Баянжаргалан,"1,571.","1,570.","1,603.","1,656.","1,695.","1,631."
"                            1-р баг, Жаргалант",539.,538.,544.,565.,589.,576.
"                            2-р баг, Улаан ухаа",528.,520.,528.,549.,558.,542.
"                            3-р баг, Эрдэнэ",504.,512.,531.,542.,548.,513.
                    Баян-Өнжүүл,"2,086.","2,093.","2,138.","2,227.","2,268.","2,228."
"                            1-р баг, Бараат",697.,710.,724.,740.,756.,752.
"                            2-р баг, Цээл",852.,844.,868.,941.,988.,970.
"                            3-р баг, Бүрд",537.,539.,546.,546.,524.,506.
                    Баянхангай,"1,379.","1,475.","1,519.","1,497.","1,452.","1,367."
"                            1-р баг, Найрамдал",771.,845.,881.,873.,850.,817.
"                            2-р баг, Хөшөөт",608.,630.,638.,624.,602.,550.
                    Баянцагаан,"1,803.","1,808.","1,861.","1,880.","1,884.","1,865."
"                            1-р баг, Өлзийт",440.,440.,458.,473.,481.,474.
"                            2-р баг, Баян айраг",304.,313.,323.,321.,311.,302.
"                            3-р баг, Гурван түрүү",316.,312.,312.,317.,323.,349.
"                            4-р баг, Алтат",379.,394.,403.,410.,423.,415.
"                            5-р баг, Зогсоол",364.,349.,365.,359.,346.,325.
                    Баянцогт,"1,841.","1,785.","1,890.","1,922.","1,826.","1,691."
"                            1-р баг, Гуна",430.,431.,492.,498.,463.,429.
"                            2-р баг, Сарлаг",600.,556.,568.,568.,544.,477.
"                            3-р баг, Даргиат",811.,798.,830.,856.,819.,785.
                    Баянчандмань,"4,099.","4,032.","4,174.","4,218.","4,288.","4,175."
"                            1-р баг, Чандмань","1,483.","1,452.","1,495.","1,494.","1,513.","1,447."
"                            2-р баг, Замт","1,626.","1,594.","1,657.","1,718.","1,764.","1,747."
"                            3-р баг, Эрдэнэ",990.,986.,"1,022.","1,006.","1,011.",981.
                Борнуур,"5,059.","4,983.","5,266.","5,206.","5,145.","4,902."
"                        1-р баг, Өгөөмөр","1,556.","1,522.","1,577.","1,556.","1,535.","1,450."
"                        2-р баг, Мандал","1,108.","1,098.","1,160.","1,152.","1,099.","1,012."
"                        3-р баг, Бичигт","1,269.","1,271.","1,375.","1,291.","1,325.","1,269."
"                        4-р баг, Нарт","1,126.","1,092.","1,154.","1,207.","1,186.","1,171."
                    Бүрэн,"3,012.","2,989.","3,083.","3,146.","3,114.","2,984."
"                            1-р баг, Төхөм",574.,549.,567.,572.,548.,521.
"                            2-р баг, Баянцогт",757.,750.,781.,781.,754.,731.
"                            3-р баг, Монгол",624.,633.,643.,662.,689.,660.
"                            4-р баг, Эрдэнэхангай",656.,670.,686.,721.,713.,679.
"                            5-р баг, Өнжүүл",401.,387.,406.,410.,410.,393.
                    Дэлгэрхаан,"1,660.","1,645.","1,704.","1,773.","1,812.","1,779."
"                            1-р баг, Тарган",479.,505.,525.,562.,570.,551.
"                            2-р баг, Дуут-Хуримт",667.,634.,671.,669.,696.,682.
"                            3-р баг, Давст",514.,506.,508.,542.,546.,546.
                    Жаргалант,"6,348.","6,379.","6,571.","6,720.","6,727.","6,568."
"                            1-р баг, Буурал","2,273.","2,354.","2,427.","2,506.","2,497.","2,521."
"                            2-р баг, Өгөөмөр","2,248.","2,199.","2,238.","2,254.","2,266.","2,210."
"                            3-р баг, Баянбулаг","1,152.","1,140.","1,165.","1,213.","1,248.","1,198."
"                            4-р баг, Загдал",675.,686.,741.,747.,716.,639.
                    Заамар,"5,407.","5,453.","5,610.","5,836.","5,963.","5,804."
"                            1-р баг, Тосон",704.,739.,740.,729.,744.,738.
"                            2-р баг, Төмстэй",875.,902.,944.,"1,022.","1,054.","1,034."
"                            3-р баг, Хайлааст","2,285.","2,308.","2,375.","2,536.","2,589.","2,478."
"                            4-р баг, Төв","1,543.","1,504.","1,551.","1,549.","1,576.","1,554."
                    Лүн,"2,652.","2,550.","2,593.","2,612.","2,573.","2,501."
"                            1-р баг, Цагаан уул",638.,619.,626.,650.,647.,628.
"                            2-р баг, Өгөөмөр",979.,940.,962.,966.,953.,915.
"                            3-р баг, Төв","1,035.",991.,"1,005.",996.,973.,958.
                    Мөнгөнморьт,"1,991.","1,982.","2,039.","2,075.","2,091.","2,211."
"                            1-р баг, Жаргалант",677.,703.,732.,764.,758.,757.
"                            2-р баг, Байдлаг",434.,434.,433.,445.,466.,568.
"                            3-р баг, Булаг",880.,845.,874.,866.,867.,886.
                    Өндөрширээт,"1,921.","1,903.","1,956.","2,044.","2,068.","2,062."
"                            1-р баг, Баянтуул",672.,669.,686.,707.,706.,689.
"                            2-р баг, Хайрхан",427.,444.,475.,497.,508.,552.
"                            3-р баг, Уянга",486.,488.,501.,514.,530.,516.
"                            4-р баг, Сант",336.,302.,294.,326.,324.,305.
                    Сүмбэр,"1,778.","1,769.","1,849.","1,828.","1,782.","1,748."
"                            1-р баг, Сүмбэр",922.,939.,971.,980.,963.,933.
"                            2-р баг, Жавхлант",856.,830.,878.,848.,819.,815.
                    Сэргэлэн,"1,841.","1,952.","1,963.","2,029.","2,105.","2,013."
"                            1-р баг, Баянбүрд",370.,424.,407.,434.,486.,487.
"                            2-р баг, Хайрхан",368.,373.,390.,406.,396.,387.
"                            3-р баг, Хөшиг",327.,339.,350.,359.,378.,334.
"                            4-р баг, Эрдэнэ-Уул",471.,514.,512.,533.,545.,515.
"                            5-р баг, Авдар",305.,302.,304.,297.,300.,290.
                Угтаалцайдам,"2,640.","2,627.","2,723.","2,723.","2,697.","2,595."
"                        1-р баг, Талын уул",649.,675.,709.,682.,654.,642.
"                        2-р баг, Хар чулуут",483.,462.,475.,487.,493.,474.
"                        3-р баг, Асгат","1,508.","1,490.","1,539.","1,554.","1,550.","1,479."
                    Цээл,"2,480.","2,478.","2,549.","2,632.","2,629.","2,547."
"                            1-р баг, Оргил",511.,505.,513.,503.,498.,478.
"                            2-р баг, Талын хайрхан",479.,484.,491.,523.,519.,505.
"                            3-р баг, Майхан",534.,513.,523.,543.,533.,523.
"                            4-р баг, Сүүл буга",406.,402.,461.,479.,488.,475.
"                            5-р баг, Хүүлэй хан",550.,574.,561.,584.,591.,566.
                    Эрдэнэ,"3,862.","3,756.","3,804.","3,959.","4,029.","3,907."
"                            1-р баг, Өгөөмөр",529.,549.,564.,597.,589.,569.
"                            2-р баг, Чулуут",743.,702.,701.,720.,744.,710.
"                            3-р баг, Баянтуул",472.,478.,482.,521.,559.,543.
"                            4-р баг, Хушинга",557.,521.,550.,577.,588.,602.
"                            5-р баг, Тамган","1,561.","1,506.","1,507.","1,544.","1,549.","1,483."
                    Эрдэнэсант,"4,369.","4,284.","4,393.","4,463.","4,513.","4,416."
"                            1-р баг, Баян-Уул",661.,665.,684.,691.,698.,678.
"                            2-р баг, Баргилт",623.,606.,605.,614.,645.,615.
"                            3-р баг, Буянт",676.,692.,732.,745.,747.,742.
"                            4-р баг, Угалзат","1,095.","1,091.","1,129.","1,160.","1,200.","1,205."
"                            5-р баг, Улаанхудаг","1,314.","1,230.","1,243.","1,253.","1,223.","1,176."
            Говьсүмбэр,"15,891.","16,308.","16,934.","17,399.","17,489.","17,445."
                Сүмбэр,"11,609.","11,881.","12,352.","12,710.","12,773.","12,704."
                        1-р баг,"2,743.","2,837.","2,758.","2,798.","2,736.","2,918."
                        2-р баг,"3,083.","3,116.","3,227.","3,315.","3,352.","3,300."
                        3-р баг,"3,876.","3,853.","4,156.","4,321.","4,359.","4,209."
                        4-р баг,680.,747.,768.,774.,821.,817.
                        5-р баг,658.,698.,731.,744.,753.,744.
                        6-р баг,569.,630.,712.,758.,752.,716.
                Баянтал,"1,084.","1,168.","1,204.","1,240.","1,201.","1,129."
                        1-р баг,746.,767.,782.,790.,756.,722.
                        2-р баг,338.,401.,422.,450.,445.,407.
                Шивээговь,"3,198.","3,259.","3,378.","3,449.","3,515.","3,612."
                        1-р баг,"1,993.","2,088.","2,244.","2,299.","2,365.","2,546."
                        2-р баг,"1,205.","1,171.","1,134.","1,150.","1,150.","1,066."
            Сэлэнгэ,"105,253.","104,725.","106,677.","108,768.","109,255.","107,755."
                Сүхбаатар,"2,056.","22,238.","22,482.","22,911.","23,151.","22,578."
"                        1-р баг, Хонгорморьт","2,026.","2,035.","2,010.","2,023.","2,027.","1,958."
"                        2-р баг, Цагаан-Эрэг","2,118.","1,975.","2,015.","2,037.","2,115.","1,988."
"                        3-р баг, Салхит","3,534.","3,614.","3,643.","3,692.","3,725.","3,521."
"                        4-р баг, Баянхаан","3,192.","3,050.","3,085.","3,212.","3,296.","3,274."
"                        5-р баг, Боргүвээ","3,651.","3,457.","3,537.","3,686.","3,740.","3,599."
"                        6-р баг, Орхон","2,313.","2,312.","2,343.","2,342.","2,347.","2,302."
"                        7-р баг, Ганзам","3,019.","3,078.","3,104.","3,107.","3,082.","3,245."
"                        8-р баг, Буурхээр","2,816.","2,717.","2,745.","2,812.","2,819.","2,691."
                Алтанбулаг,"5,030.","4,729.","5,052.","5,089.","5,008.","4,750."
"                        1-р баг, Бүргэдэй","2,218.","2,105.","2,325.","2,340.","2,227.","2,051."
"                        2-р баг, Суварга","1,938.","1,773.","1,872.","1,869.","1,861.","1,761."
"                        3-р баг, Цөх",874.,851.,855.,880.,920.,938.
                Баруунбүрэн,"3,043.","3,111.","3,197.","3,184.","3,162.","3,094."
"                        1-р баг, Ивэн",770.,753.,776.,785.,780.,788.
"                        2-р баг, Бургалтай",875.,932.,933.,959.,996.,948.
"                        3-р баг, Цагаан-Овоо","1,398.","1,426.","1,488.","1,440.","1,386.","1,358."
                Баянгол,"5,594.","5,403.","5,516.","5,608.","5,579.","5,567."
"                        1-р баг, Хараа","2,019.","1,902.","1,944.","1,984.","2,015.","2,065."
"                        2-р баг, Баян","2,017.","1,958.","2,031.","2,030.","1,939.","1,943."
"                        3-р баг, Гонир","1,558.","1,543.","1,541.","1,594.","1,625.","1,559."
                    Ерөө,"6,578.","6,393.","6,494.","6,752.","6,856.","6,834."
"                            1-р баг, Тавин","1,576.","1,603.","1,568.","1,585.","1,697.","1,672."
"                            2-р баг, Буурагчин","2,045.","2,004.","1,975.","2,053.","2,015.","2,034."
"                            3-р баг, Бугант","2,957.","2,786.","2,951.","3,114.","3,144.","3,128."
                    Жавхлант,"2,071.","1,974.","2,099.","2,164.","1,962.","1,970."
"                            1-р баг, Бумбат","1,017.",955.,998.,"1,015.",877.,861.
"                            2-р баг, Моностой","1,054.","1,019.","1,101.","1,149.","1,085.","1,109."
                    Зүүнбүрэн,"2,725.","2,704.","2,756.","2,832.","2,865.","2,819."
"                            1-р баг, Жаргалант","1,222.","1,222.","1,251.","1,287.","1,257.","1,232."
"                            2-р баг, Бэлчир",959.,932.,947.,969.,"1,007.",989.
"                            3-р баг, Мангирт",544.,550.,558.,576.,601.,598.
                    Мандал,"25,693.","26,600.","26,880.","27,162.","27,241.","27,011."
"                            1-р баг, Төмөр зам","3,288.","3,322.","3,343.","3,377.","3,383.","3,245."
"                            2-р баг, Ширхэнцэг","2,935.","3,056.","3,082.","3,188.","3,151.","3,096."
"                            3-р баг, Баянсуудал","3,192.","3,894.","3,964.","4,070.","4,147.","4,425."
"                            4-р баг, Хэрх","3,029.","2,957.","3,008.","3,026.","3,012.","2,917."
"                            5-р баг, Түнхэл","3,234.","3,136.","3,073.","3,044.","3,058.","3,042."
"                            6-р баг, Баянхангай","3,208.","3,317.","3,432.","3,418.","3,428.","3,321."
"                            7-р баг, Минжийн хангай","3,326.","3,518.","3,574.","3,587.","3,556.","3,418."
"                            8-р баг, Тарни",982.,982.,996.,"1,005.",980.,"1,143."
"                            9-р баг, Баян-Арцат","2,499.","2,418.","2,408.","2,447.","2,526.","2,404."
                    Орхон,"3,667.","2,306.","2,369.","2,376.","2,377.","2,290."
"                            1-р баг, Орхон","1,046.","1,017.","1,029.","1,038.","1,072.","1,022."
"                            2-р баг, Бэлэндалай","1,304.","1,289.","1,340.","1,338.","1,305.","1,268."
                    Орхонтуул,"1,776.","3,621.","3,680.","3,778.","3,788.","3,754."
"                            1-р баг, Рашаант","1,783.","1,727.","1,761.","1,831.","1,800.","1,832."
"                            2-р баг, Баянцогт","1,293.","1,290.","1,323.","1,342.","1,358.","1,326."
"                            3-р баг, Хонгор-Овоо",591.,604.,596.,605.,630.,596.
                    Сайхан,"9,177.","9,130.","9,325.","9,375.","9,418.","9,302."
"                            1-р баг, Хөтөл","2,734.","2,750.","2,814.","2,797.","2,808.","2,740."
"                            2-р баг, Гавшгай","4,349.","4,421.","4,515.","4,561.","4,617.","2,087."
"                            3-р баг, Номгон","2,094.","1,959.","1,996.","2,017.","1,993.","1,967."
"                            4-р баг, Дөмбөн",,,,,,"2,508."
                    Сант,"2,184.","1,961.","2,094.","2,169.","2,143.","2,104."
"                            1-р баг, Ивэн","1,165.","1,059.","1,144.","1,162.","1,191.","1,144."
"                            2-р баг, Хушаат","1,019.",902.,950.,"1,007.",952.,960.
                    Түшиг,"2,232.","1,694.","1,739.","2,004.","1,848.","1,835."
"                            1-р баг, Жаргалмандах",886.,899.,902.,"1,074.",993.,973.
"                            2-р баг, Ар нуга",824.,795.,837.,930.,855.,862.
                Хүдэр,"1,243.","2,384.","2,424.","2,490.","2,651.","2,706."
"                        1-р баг, Тарвагатай","1,203.","1,210.","1,312.","1,339.","1,407.","1,421."
"                        2-р баг, Баянцагаан","1,029.","1,174.","1,112.","1,151.","1,244.","1,285."
                    Хушаат,"4,716.","1,831.","1,929.","1,989.","2,065.","2,067."
"                            1-р баг, Даагат",863.,851.,870.,910.,965.,962.
"                            2-р баг, Мөнхтолгой","1,008.",980.,"1,059.","1,079.","1,100.","1,105."
                    Цагааннуур,955.,"4,687.","4,783.","5,011.","5,077.","5,081."
"                            1-р баг, Оргих",988.,"1,011.","1,023.","1,060.","1,130.","1,140."
"                            2-р баг, Хуурч","2,013.","1,982.","2,081.","2,133.","2,149.","2,143."
"                            3-р баг, Тийрэг","1,715.","1,694.","1,679.","1,818.","1,798.","1,798."
                    Шаамар,"3,495.","3,959.","3,858.","3,874.","4,064.","3,993."
"                            1-р баг, Дэлгэрхаан","1,044.","1,391.","1,374.","1,330.","1,400.","1,371."
"                            2-р баг, Охиндий","1,200.",911.,796.,799.,894.,869.
"                            3-р баг, Дулаанхаан","1,630.","1,657.","1,688.","1,745.","1,770.","1,753."
            Дорноговь,"63,492.","63,125.","66,606.","68,192.","69,560.","69,859."
                Сайншанд,"22,666.","23,191.","24,059.","24,772.","25,274.","25,910."
                        1-р баг,"6,509.","3,837.","3,924.","3,959.","3,838.","3,859."
                        2-р баг,"4,155.","4,204.","4,432.","4,690.","5,110.","5,218."
                        3-р баг,"4,913.","5,369.","5,704.","5,993.","6,297.","3,469."
                        4-р баг,"5,224.","2,818.","2,848.","2,867.","2,802.","2,864."
"                        5-р баг, Зүүнбаян","1,865.","1,966.","1,929.","1,946.","1,941.","1,931."
                        6-р баг,,"2,634.","2,788.","2,926.","2,988.","3,176."
                        7-р баг,,"2,363.","2,434.","2,391.","2,298.","2,452."
                        8-р баг,,,,,,"2,941."
                Айраг,"3,607.","3,612.","3,738.","3,811.","3,766.","3,638."
"                        1-р баг, Нард",404.,411.,429.,437.,442.,443.
"                        2-р баг, Сайн-Ус",513.,540.,559.,617.,623.,603.
"                        3-р баг, Нүдэн",284.,294.,297.,296.,300.,314.
"                        4-р баг, Цагаан дөрвөлж","2,406.","2,367.","2,453.","2,461.","2,401.","2,278."
                Алтанширээ,"1,286.","1,262.","1,294.","1,327.","1,360.","1,318."
"                        1-р баг, Тойг",369.,358.,380.,391.,404.,379.
"                        2-р баг, Зараа",279.,272.,279.,286.,297.,299.
"                        3-р баг, Хаяа",329.,327.,337.,358.,359.,350.
"                        4-р баг, Чулуун гишгэр",309.,305.,298.,292.,300.,290.
                Даланжаргалан,"2,641.","2,680.","2,742.","2,749.","2,895.","3,005."
"                        1-р баг, Элдэв",333.,342.,370.,381.,382.,410.
"                        2-р баг, Өнгөт",481.,498.,495.,484.,484.,486.
"                        3-р баг, Бичигт",400.,425.,442.,451.,451.,470.
"                        4-р баг, Цомог",688.,701.,711.,728.,815.,779.
"                        5-р баг, Олон-Овоо",739.,714.,724.,705.,763.,860.
                    Дэлгэрэх,"1,868.","1,851.","1,889.","1,873.","1,840.","1,817."
"                            1-р баг, Цагаанхад",441.,445.,441.,453.,482.,503.
"                            2-р баг, Аман шанд",668.,678.,707.,690.,655.,632.
"                            3-р баг, Бумбат",368.,372.,386.,383.,385.,390.
"                            4-р баг, Хонгор",391.,356.,355.,347.,318.,292.
                    Замын-Үүд,"16,306.","15,702.","17,519.","18,241.","18,930.","18,804."
                            1-р баг,"5,567.","2,783.","3,130.","3,298.","3,556.","3,951."
                            2-р баг,"6,146.","4,077.","4,502.","4,704.","4,762.","4,469."
                            3-р баг,"4,593.","2,529.","2,847.","2,911.","3,261.","3,224."
