GID,NATIONAL,ADM,ADM1,ADM1_PCODE,ADM2,ADM2_PCODE,ADM4,TYPE,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
G28,National,Western,Завхан,MN81,Баянхайрхан,MN8118,"1-р баг, Наран",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.38,3.48,3.9,4.11,3.79,3.27,3.59,4.32,4.47
G29,National,Western,Завхан,MN81,Баянхайрхан,MN8118,"2-р баг, Асгат",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.82,9.71,10.86,12.26,11.41,11.09,11.79,13.13,11
G30,National,Western,Завхан,MN81,Баянхайрхан,MN8118,"3-р баг, Минж",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.48,10.37,10.46,10.4,8.57,9.58,10.67,13,12.1
G31,National,Western,Завхан,MN81,Баянхайрхан,MN8118,"4-р баг, Төөнт",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.73,9.63,9.98,9.85,8.53,9.56,10.9,12.22,11.67
G32,National,Western,Завхан,MN81,Дөрвөлжин,MN8128,,Ямаа,27.67,30.18,31.45,29.51,30.93,32.58,35.47,29.19,33.99,31.48,33.15,32.71,37.02,32.82,37.02,40.14,42.19,44.09,48.86,52.61,55.44,52.38,54.51,54.78,64.73,76.22,80.32,78.6,78.7,79.21,67.95,60.76,44.81,51.15,62.77,59.61,67.4,81.56,84.38,66.48,46.76,55.77,63.32,71.59,84.04,94.91,110.67,107.64,77.09,88.88,93.52
G33,National,Western,Завхан,MN81,Дөрвөлжин,MN8128,"1-р баг, Буга",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.29,4.69,5.48,5.62,6.63,5.79,3.52,3.97,4.16
G34,National,Western,Завхан,MN81,Дөрвөлжин,MN8128,"2-р баг, Цогт",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.96,19.74,23.63,27.43,32.48,30.92,22.06,25.13,27
G35,National,Western,Завхан,MN81,Дөрвөлжин,MN8128,"3-р баг, Тавантолгой",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.43,16.4,18.72,21.16,23.49,24.08,15.75,20.09,21.95
G36,National,Western,Завхан,MN81,Дөрвөлжин,MN8128,"4-р баг, Буурал",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.37,20.8,23.87,26.36,31.26,30.27,24.11,26.38,26.19
G37,National,Western,Завхан,MN81,Дөрвөлжин,MN8128,"5-р баг, Онц",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.27,9.97,12.34,14.34,16.81,16.58,11.65,13.31,14.2
G38,National,Western,Завхан,MN81,Завханмандал,MN8127,,Ямаа,16.11,16.19,16.84,17.92,18.7,18.5,19.39,16.27,17.69,18.81,17.82,17.39,20.11,20.28,17.18,17.96,16.81,17.24,19.24,20.48,21.82,22.34,24.33,25.88,31.44,36.98,38.02,39.07,42.8,40.94,28.86,32.88,34.94,37.33,43.02,43.04,49.86,58.06,47.87,33.35,29.7,34.8,39.49,45.05,53.27,60.16,66.85,63.84,39.94,46.22,49.78
G39,National,Western,Завхан,MN81,Завханмандал,MN8127,"1-р баг, Мандал",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.99,14.7,18.47,20.11,22.16,21.75,12.91,15.53,18.31
G40,National,Western,Завхан,MN81,Завханмандал,MN8127,"2-р баг, Олонбулаг",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.37,13.98,15.66,18.18,20.26,17.9,11.62,13.88,13.57
G41,National,Western,Завхан,MN81,Завханмандал,MN8127,"3-р баг, Олонтүрүү",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.12,11.02,13.41,14.55,16.65,16.28,10.33,11.7,12.11
G42,National,Western,Завхан,MN81,Завханмандал,MN8127,"4-р баг, Нуга",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.01,5.36,5.73,7.32,7.78,7.92,5.08,5.1,5.79
