GID,NATIONAL,ADM,ADM1,ADM1_PCODE,ADM2,ADM2_PCODE,ADM4,TYPE,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
G892,National,Northern,Баянхонгор,MN64,Богд,MN6405,"2-р баг, Гурван гол",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6,22.92,27.71,27.56,30.38,27.73,26.31,29.71,24.67
G893,National,Northern,Баянхонгор,MN64,Богд,MN6405,"3-р баг, Алтай",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.13,33.63,39.55,40.42,44.69,46.97,40.89,40.41,34.11
G894,National,Northern,Баянхонгор,MN64,Богд,MN6405,"4-р баг, Буянт",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.64,20.1,23.54,23.62,24.68,26.24,24.39,34.51,22.74
G895,National,Northern,Баянхонгор,MN64,Богд,MN6405,"5-р баг, Цэлгэр",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.55,26.91,30.32,31.62,35.58,33.97,31.25,27.41,16.29
G896,National,Northern,Баянхонгор,MN64,Богд,MN6405,"6-р баг, Хориулт",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.17,8.46,9.56,9.15,10.49,9.23,8.03,8.3,6.41
G897,National,Northern,Баянхонгор,MN64,Бөмбөгөр,MN6417,,Ямаа,19.56,19.65,21.22,20.75,21,20.14,20.37,21.29,22.41,22.11,23.45,24.36,25.35,24.28,20.98,20.15,20.88,21.98,22.19,23.52,25.19,26.8,27.67,32.59,37.63,42.13,44.47,49.33,55.09,53.4,57.07,34.23,14.91,24.19,30.71,41.25,54.04,74.61,91.88,87.18,80,100.9,112.72,123.43,143.1,155.37,174.52,184.66,177.71,197.27,183.64
G898,National,Northern,Баянхонгор,MN64,Бөмбөгөр,MN6417,"1-р баг, Улаан сайр",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.85,53.8,59.75,65.18,72.85,78.25,76.99,87.45,79.71
G899,National,Northern,Баянхонгор,MN64,Бөмбөгөр,MN6417,"2-р баг, Хөх толгой",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.89,30.75,34.83,37.4,42.3,44.24,43.48,47.53,46.28
G900,National,Northern,Баянхонгор,MN64,Бөмбөгөр,MN6417,"3-р баг, Хотын булан баг",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.77,24.74,31.23,34.56,39.09,41.98,37.59,42.05,37.14
G901,National,Northern,Баянхонгор,MN64,Бөмбөгөр,MN6417,"4-р баг, Задгай",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.21,14.14,17.3,18.23,20.28,20.2,19.64,20.25,20.51
G902,National,Northern,Баянхонгор,MN64,Бууцагаан,MN6422,,Ямаа,44.51,44.66,46.53,46.5,46.89,49.2,51.36,53.52,53.01,50.47,54.42,54.95,55,53.86,42.28,47.23,52.44,56.16,55.94,63.53,70.04,76.71,81.47,83.2,104.19,117.98,117.64,126.76,128.6,112.47,120.3,85.85,31.17,45.94,60.4,74.35,93.63,113.29,128.64,124.87,98.67,113.33,129.4,148.24,168.17,183.33,198.82,207.61,188.01,207.02,171.13
G903,National,Northern,Баянхонгор,MN64,Бууцагаан,MN6422,"1-р баг, Тэмээт",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.39,15.98,17.97,20.09,22.43,24.05,20.08,23.36,20.74
G904,National,Northern,Баянхонгор,MN64,Бууцагаан,MN6422,"2-р баг, Баян",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,30.66,36.87,41.09,45.94,50.34,44.42,51.02,39.44
G905,National,Northern,Баянхонгор,MN64,Бууцагаан,MN6422,"3-р баг, Өлзийт",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.74,20.62,21.68,24.15,24.67,26.55,23.33,27.37,19.83
G906,National,Northern,Баянхонгор,MN64,Бууцагаан,MN6422,"4-р баг, Баянбүрд",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.19,38.98,42.7,46.17,49.85,49.42,44.52,47.45,43.2
G907,National,Northern,Баянхонгор,MN64,Бууцагаан,MN6422,"5-р баг, Наран",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.31,33.98,40.56,43.65,47.13,48.24,47.85,49.74,40.04
G908,National,Northern,Баянхонгор,MN64,Бууцагаан,MN6422,"6-р баг, Буянт",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.77,8.03,8.39,8.19,8.8,9,7.81,8.08,7.88
G909,National,Northern,Баянхонгор,MN64,Галуут,MN6411,,Ямаа,9.35,10.28,10.27,8.76,9.17,9.59,9.86,10.4,11.27,11.01,11.14,11.83,12.23,9.27,7.14,5.35,5.57,5.2,5.02,6.53,7.69,8.94,10.36,12.76,17.06,22.24,26.76,31.89,36.64,38.02,34.16,27.74,22.28,28.38,34.3,36.94,47.04,55.49,68.69,71.16,58.29,65,72.37,73.5,81.32,85.99,93.21,105.38,108.07,116.86,108.26
G910,National,Northern,Баянхонгор,MN64,Галуут,MN6411,"1-р баг, Хайрхан",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.53,13.55,15.2,15.63,15.75,17.9,17.44,20.06,19.36
G911,National,Northern,Баянхонгор,MN64,Галуут,MN6411,"2-р баг, Сүмбэр",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.59,21.62,24.17,26.57,29.52,34.35,33.87,35.18,33.6
G912,National,Northern,Баянхонгор,MN64,Галуут,MN6411,"3-р баг, Үнэгт",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.82,16.46,18.26,19.13,20.8,21.75,22.37,23.39,18.87
G913,National,Northern,Баянхонгор,MN64,Галуут,MN6411,"4-р баг, Баяннуур",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.99,8.76,9.22,9.69,10.06,11.87,13.36,14.4,13.71
G914,National,Northern,Баянхонгор,MN64,Галуут,MN6411,"5-р баг, Мандал",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.01,8.67,9.09,8.84,8.87,10.5,11.7,13.48,12.52
G915,National,Northern,Баянхонгор,MN64,Галуут,MN6411,"6-р баг, Баянхошуу",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.43,4.44,5.39,6.13,8.21,9.01,9.32,10.35,10.19
G916,National,Northern,Баянхонгор,MN64,Гурванбулаг,MN6423,,Ямаа,8.25,8.56,7.57,5.42,4.59,4.48,4.2,4.5,4.55,4.44,4.29,3.97,3.86,3.5,3.04,1.95,1.91,1.98,2.02,2.3,2.64,3.36,4.08,3.85,5.16,7.3,9.07,11.44,12.76,12.12,9.76,13.01,14.61,17.4,20.42,21.9,26.49,32.53,34.83,34.01,18.84,22.26,26.03,29.92,33.01,37.94,42.74,50.42,57.19,58.35,53.89
G917,National,Northern,Баянхонгор,MN64,Гурванбулаг,MN6423,"1-р баг, Цэнгэл",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.27,10.21,11.91,14.56,16.1,18.72,20.26,18.52,16.91
G918,National,Northern,Баянхонгор,MN64,Гурванбулаг,MN6423,"2-р баг, Давааны ам",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.62,6.44,6.45,7.32,8.12,9.74,11.09,11.82,10.46
G919,National,Northern,Баянхонгор,MN64,Гурванбулаг,MN6423,"3-р баг, Буга",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.89,5.64,6.04,6.79,8.01,9.02,10.41,11.08,10.29
G920,National,Northern,Баянхонгор,MN64,Гурванбулаг,MN6423,"4-р баг, Хөвийн ам",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.33,6.44,7.32,8.2,9.04,10.91,12.81,13.98,13.35
G921,National,Northern,Баянхонгор,MN64,Гурванбулаг,MN6423,"5-р баг, Пионер толгой",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,1.2,1.28,1.07,1.46,2.03,2.63,2.96,2.87
G922,National,Northern,Баянхонгор,MN64,Жаргалант,MN6418,,Ямаа,4.3,4.3,4.05,3.25,3.05,2.55,1.9,1.52,1.2,1.02,1.03,1.07,1.06,1.13,0.87,0.82,1.01,1.1,1.13,1.48,2,2.51,3.13,4.43,6.34,8.43,10.72,13.71,15.55,16.4,15.9,18.66,19.09,22.13,24.49,27.94,32.8,37.98,42.21,38.68,29.71,31.12,33.41,35.88,39.34,42.89,46.43,54.05,54.07,58.72,54.98
G923,National,Northern,Баянхонгор,MN64,Жаргалант,MN6418,"1-р баг, Намтолгой",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,12.87,14,15.49,17.34,21.09,20.78,21.93,21.63
G924,National,Northern,Баянхонгор,MN64,Жаргалант,MN6418,"2-р баг, Өлзийт-Өндөр",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.63,9.52,10.43,11.12,12.11,13.66,14.01,15.9,15.01
G925,National,Northern,Баянхонгор,MN64,Жаргалант,MN6418,"3-р баг, Хөндлөн булаг",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,10.32,11.09,12.49,12.35,14.62,14.92,16.01,13.99
G926,National,Northern,Баянхонгор,MN64,Жаргалант,MN6418,"4-р баг, Эмээл толгой",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.18,3.18,3.81,3.79,4.63,4.68,4.36,4.88,4.34
G927,National,Northern,Баянхонгор,MN64,Жинст,MN6407,,Ямаа,38.39,38.22,39.69,39.55,42.45,42.9,44.57,46.02,47.32,45.88,46.71,46.71,50.74,49.45,40.58,34.32,36.61,37.21,32.98,38.5,39.46,46.54,48.36,52.75,60.16,71.29,63.31,72.75,78.52,76.38,76.92,48.46,16.85,26.89,37.08,46.41,58.36,77.07,97.63,110.17,67.71,84.04,90.66,110.6,127.69,141.05,153.18,158.2,129.51,147.63,111.91
G928,National,Northern,Баянхонгор,MN64,Жинст,MN6407,"1-р баг, Уу-булан",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.87,17.59,19.38,21.1,19.74,19.66,15.56,17.85,16.77
G929,National,Northern,Баянхонгор,MN64,Жинст,MN6407,"2-р баг, Хүйс",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.83,29.64,34.33,39.74,44.35,44.66,37.81,44.71,31.77
G930,National,Northern,Баянхонгор,MN64,Жинст,MN6407,"3-р баг, Хөнөг",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.89,33.97,38.98,42.8,50.08,50.58,41.34,44.01,30.85
G931,National,Northern,Баянхонгор,MN64,Жинст,MN6407,"4-р баг, Цагаан ус",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.07,19.38,22.97,23.65,24.57,26.74,20.64,24.43,20.04
G932,National,Northern,Баянхонгор,MN64,Жинст,MN6407,"5-р баг, Бодь",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10.03,12.03,13.76,14.45,16.55,14.16,16.62,12.48
G933,National,Northern,Баянхонгор,MN64,Заг,MN6420,,Ямаа,7.45,7.89,7.34,6.99,6.64,6.8,6.05,6.37,6.68,6.86,7.29,7.6,6.89,7.09,4.91,4.14,4.48,4.86,4.45,5.96,7.37,8.04,8.44,9.91,12.9,17.28,21.23,25.06,27.91,25.12,21.47,23.19,19.83,24.98,27.23,29.54,33.94,38.26,44.95,41.34,32.02,35.76,38.86,45.15,49.88,54.4,59.76,69.11,68.5,74.08,64.65
G934,National,Northern,Баянхонгор,MN64,Заг,MN6420,"1-р баг, Баянбулаг",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.51,7.52,8.31,8.98,10.94,12.92,13.21,13.93,12.2
G935,National,Northern,Баянхонгор,MN64,Заг,MN6420,"2-р баг, Баян-Улаан",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.65,16.99,19,20.35,21.84,25.08,24.54,27.23,23.05
G936,National,Northern,Баянхонгор,MN64,Заг,MN6420,"3-р баг, Чандмань-Овоо",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.27,11.96,13.01,14.91,16.36,17.41,17.92,18.86,17.44
G937,National,Northern,Баянхонгор,MN64,Заг,MN6420,"4-р баг, Залаа-Овоо",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.43,8.68,9.56,10.17,10.62,13.71,12.83,14.07,11.96
G938,National,Northern,Баянхонгор,MN64,Өлзийт,MN6403,,Ямаа,29.68,30.37,28.25,30.5,30.39,28.48,28.12,27.76,29.42,29.96,31.53,33.09,34.47,28.39,25.79,23.34,21.63,21.82,19.5,23.62,26.32,28.53,30.45,30.21,35.32,40.88,46.62,54.15,63.33,65.87,62.11,41.91,23.66,36.56,48.92,61.79,79.7,101.46,118.26,114.21,98.3,118.35,128.69,136.43,150.17,151.38,138.25,143.57,126.15,150.29,138.09
G939,National,Northern,Баянхонгор,MN64,Өлзийт,MN6403,"1-р баг, Бурхант",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.89,25.81,28.34,31.02,27.59,29.71,25.4,30.45,27.96
G940,National,Northern,Баянхонгор,MN64,Өлзийт,MN6403,"2-р баг, Байн ам",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.53,43.3,46.65,48.28,42.37,45.23,40.3,46.91,40.81
G941,National,Northern,Баянхонгор,MN64,Өлзийт,MN6403,"3-р баг, Ёлын ам",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.46,13.01,15.2,14.61,13.91,14.42,13.71,15.92,12.58
G942,National,Northern,Баянхонгор,MN64,Өлзийт,MN6403,"4-р баг, Худаг урт",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.04,28.02,30.1,29.3,25.18,22.41,22.17,26.6,26.43
G943,National,Northern,Баянхонгор,MN64,Өлзийт,MN6403,"5-р баг, Бийрийн уулзвар",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.19,22.17,25.62,23.41,24.56,26.22,20.34,25.28,25.31
G944,National,Northern,Баянхонгор,MN64,Өлзийт,MN6403,"6-р баг, Улаан уул",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.58,4.12,4.27,4.76,4.64,5.58,4.23,5.13,5
G945,National,Northern,Баянхонгор,MN64,Хүрээмарал,MN6424,,Ямаа,16.54,16.96,17.71,18.43,17.36,17.76,17.55,18.46,19.48,18.64,18.69,19.96,19.98,19.01,10.63,13.59,13.85,14.44,14.77,18.33,20.25,23.16,25.06,23.4,30.58,38.54,43.82,51.22,51.34,50.51,46.02,43.75,20.36,27.51,34.99,40.98,49.84,55.74,60.87,53.85,46.36,54.14,62.45,73.67,79.84,82.87,91.16,105.66,99.16,110.94,98.21
G946,National,Northern,Баянхонгор,MN64,Хүрээмарал,MN6424,"1-р баг, Хөх бүрд",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.55,16.93,17.86,17.23,19.35,22.19,18.8,20.77,17.27
G947,National,Northern,Баянхонгор,MN64,Хүрээмарал,MN6424,"2-р баг, Сонор",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.72,17.59,19.19,21.16,22.98,26,22.8,25.08,18.05
G948,National,Northern,Баянхонгор,MN64,Хүрээмарал,MN6424,"3-р баг, Норовлин",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.16,17.94,19.98,20.23,21.28,24.67,25.58,29.35,26.09
G949,National,Northern,Баянхонгор,MN64,Хүрээмарал,MN6424,"4-р баг, Цорж",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.58,17.46,18.47,19.5,22.4,25.46,24.65,27.16,28.96
G950,National,Northern,Баянхонгор,MN64,Хүрээмарал,MN6424,"5-р баг, Дэлгэр мөрөн",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.45,3.75,4.34,4.76,5.15,7.35,7.32,8.59,7.84
G951,National,Northern,Баянхонгор,MN64,Шинэжинст,MN6419,,Ямаа,32.87,32.23,39.14,40.86,42.53,44,42.08,41.35,41.11,40.67,43.85,45.56,47.05,48.57,36.5,38.56,37.24,35.38,31.99,35.23,38.39,44.27,54.21,59.71,73.57,79.04,79.69,93.24,93.67,84.61,82.29,40.07,18.95,27.85,37.74,44.14,54.22,70.82,89.78,103.3,59.27,56.41,71.04,88.24,108.2,128.7,159.65,171.52,150.02,158.77,120.68
G952,National,Northern,Баянхонгор,MN64,Шинэжинст,MN6419,"1-р баг, Зараа",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.45,17.83,22.38,27.81,35.76,38.87,35.66,36.26,23.45
G953,National,Northern,Баянхонгор,MN64,Шинэжинст,MN6419,"2-р баг, Уртын гол",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.46,34.61,41.93,48.96,59.09,63.77,53.64,56.4,48.98
G954,National,Northern,Баянхонгор,MN64,Шинэжинст,MN6419,"3-р баг, Эрдэнэшанд",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.72,32.16,39.4,46.79,58.39,62.35,55.42,60.65,43.39
G955,National,Northern,Баянхонгор,MN64,Шинэжинст,MN6419,"4-р баг, Эхэн хавцгай",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,3.64,4.49,5.15,6.4,6.53,5.31,5.47,4.85
G956,National,Northern,Баянхонгор,MN64,Эрдэнэцогт,MN6402,,Ямаа,6.76,6.93,6.89,7.11,5.72,5.33,5.54,5.84,5.66,5.37,5.03,4.98,5.24,4.89,5.09,5.02,4.99,5.33,5.67,6.62,7.32,8.24,8.62,8.08,9.78,12.59,14.25,14.87,15.13,14.11,13.99,11.39,9.38,12.65,13.52,16.12,18.68,22.82,29.09,32.91,35.7,37.54,39.38,43.68,48.62,47.71,51.34,59.08,57.47,64.41,59.68
G957,National,Northern,Баянхонгор,MN64,Эрдэнэцогт,MN6402,"1-р баг, Сэнжит",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.89,10.4,11.07,11.02,11.97,13.24,12.96,14.29,12.73
G958,National,Northern,Баянхонгор,MN64,Эрдэнэцогт,MN6402,"2-р баг, Ямаат",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.62,6.93,7.32,6.63,6.52,6.94,6.73,7.39,7.37
G959,National,Northern,Баянхонгор,MN64,Эрдэнэцогт,MN6402,"3-р баг, Өвөржаргалант",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.94,4.01,4.94,4.7,5.28,6.21,6.55,7.53,7.15
G960,National,Northern,Баянхонгор,MN64,Эрдэнэцогт,MN6402,"4-р баг, Жанжин",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.07,12.39,14.67,14.85,16.09,19.39,17.58,20.32,18.49
G961,National,Northern,Баянхонгор,MN64,Эрдэнэцогт,MN6402,"5-р баг, Эрхэт хайрхан",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.63,4.12,4.07,3.87,4.13,4.86,5.34,5.98,5.04
G962,National,Northern,Баянхонгор,MN64,Эрдэнэцогт,MN6402,"6-р баг, Цагаан дэнж",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.23,5.82,6.54,6.65,7.37,8.43,8.32,8.9,8.9
G963,National,Northern,Архангай,MN65,Архангай,,,Ямаа,165.62,169.21,173.99,172.81,176.47,171.08,163.15,148.26,161.82,165.06,171.21,176.05,186.44,164.05,156.84,136.29,136.73,141.59,154.55,174.65,190.67,197.33,212.65,234.96,283.23,307.94,357.41,433.94,504.61,551.19,542.88,509.85,527.06,606.7,663.59,755.06,880.75,"1,017.60","1,175.02","1,195.07",852.75,964.16,"1,045.65","1,131.78","1,256.01","1,270.59","1,402.28","1,435.40","1,499.31","1,708.41","1,489.31"
G964,National,Northern,Архангай,MN65,Эрдэнэбулган,MN6513,,Ямаа,0.1,0.13,0.14,0.14,0.06,0.11,0.13,0.18,0.26,0.21,0.24,0.36,1.33,1.19,1.32,1.33,1.69,1.95,2.35,2.77,4.14,5.39,8.64,8.47,11.17,12.7,12.81,15.63,18.34,21.75,26.66,24.08,22.08,23.73,27.94,35.83,39.44,43.79,51.15,51.56,26.24,34.27,38.93,45.49,51.17,51.87,58.32,59.24,64.06,71.24,70.66
G965,National,Northern,Архангай,MN65,Эрдэнэбулган,MN6513,"1-р баг, Цагаан даваа",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.91,6.34,7.79,7.34,9.55,10.24,10.67,10.43,9.36
G966,National,Northern,Архангай,MN65,Эрдэнэбулган,MN6513,"2-р баг, Арслан цохио",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,6.69,6.83,6.24,7.6,7.32,7.02,8.04,7.5
G967,National,Northern,Архангай,MN65,Эрдэнэбулган,MN6513,"3-р баг, Цагдуулт",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.29,6.8,6.32,6.88,7.77,7.38,8.98,10.26,10.63
G968,National,Northern,Архангай,MN65,Эрдэнэбулган,MN6513,"4-р баг, Бор толгой",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.46,5.75,7.42,5.18,6.85,7.73,7.93,8.72,7.22
G969,National,Northern,Архангай,MN65,Эрдэнэбулган,MN6513,"5-р баг, Наранбулаг",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.13,6.91,8.21,7.79,7.75,8.35,9.53,11.81,10.74
G970,National,Northern,Архангай,MN65,Эрдэнэбулган,MN6513,"6-р баг, Цагаан дэл",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.84,12.99,14.6,14.48,14.55,14.18,15.79,17.02,18.96
G971,National,Northern,Архангай,MN65,Эрдэнэбулган,MN6513,7-р баг,Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95,4.25,4.05,4.14,4.97,6.25
G972,National,Northern,Архангай,MN65,Батцэнгэл,MN6510,,Ямаа,18.9,19.31,19.61,21.24,21.12,20.13,18.04,16.43,17.24,17.17,17.36,17.7,17.96,16.24,15.76,13.7,12.78,14.54,16.08,16.68,17.56,17.83,20.17,23.46,28.12,25.27,31.41,37.8,46.22,52.46,57.24,48.03,49.74,54.01,60.5,66.24,75.79,84.84,98.55,99.22,67.42,78.6,87.69,90.16,95.99,92.11,101.77,105.61,103.75,116.82,104.81
G973,National,Northern,Архангай,MN65,Батцэнгэл,MN6510,"1-р баг, Улаанчулуу",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.75,14.46,15.13,14.06,16.34,18.49,18.63,21.14,17.9
G974,National,Northern,Архангай,MN65,Батцэнгэл,MN6510,"2-р баг, Хөнөг",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.29,10.82,10.72,10.92,12.11,13.49,11.95,14.37,13.84
G975,National,Northern,Архангай,MN65,Батцэнгэл,MN6510,"3-р баг, Дэл",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.65,12.76,14.96,14.07,16.24,16.76,15.56,18.22,16.11
G976,National,Northern,Архангай,MN65,Батцэнгэл,MN6510,"4-р баг, Баян-Уул",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.85,21.2,22.25,20.64,21.26,20.11,20.38,22.18,19
G977,National,Northern,Архангай,MN65,Батцэнгэл,MN6510,"5-р баг, Цац",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.44,19.68,20.48,20.95,23.41,22.69,23.48,24.41,22.22
G978,National,Northern,Архангай,MN65,Батцэнгэл,MN6510,"6-р баг, Дайрбор",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.72,11.24,12.45,11.46,12.42,14.07,13.75,16.51,15.74
G979,National,Northern,Архангай,MN65,Булган,MN6512,,Ямаа,3.79,4.07,4.08,4.22,4.43,4.68,4.18,4.03,4.46,4.29,4.19,4.49,4.5,4.16,4.2,3.91,3.87,3.53,4.11,4.81,5.29,5.37,5.76,5.17,5.77,6.51,7.02,8.44,9.57,10.45,10.73,11.25,12.61,15.05,16.43,16.81,20.19,23.86,29.64,30.6,21.7,23.89,25.99,31.3,31.8,29.47,34.68,39.14,42.58,45.1,34.15
G980,National,Northern,Архангай,MN65,Булган,MN6512,"1-р баг, Тусгалт",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.22,10.12,9.12,8.27,9.75,11.52,14.1,14.18,10.79
G981,National,Northern,Архангай,MN65,Булган,MN6512,"2-р баг, Зуунмод",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.57,7,8.08,7.07,8.12,8.86,9.45,10.16,8.77
G982,National,Northern,Архангай,MN65,Булган,MN6512,"3-р баг, Тамир",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9.12,8.61,7.78,8.78,9.61,9.47,10,5.38
G983,National,Northern,Архангай,MN65,Булган,MN6512,"4-р баг, Баянбулаг",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,5.05,5.99,6.35,8.04,9.15,9.57,10.77,9.22
