Статистик үзүүлэлт,Статистик үзүүлэлт,Эдийн засгийн үйл ажиллагааны салбарын ангилал,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"        ДНБ, 2005 оны зэрэгцүүлэх үнээр","GDP, 2005 constant",Барилга,"95,008.2","73,725.5","43,693.7","37,439.1","41,031.3","43,480.2","44,063.3","42,948.6","41,914.7","41,954.9","35,649.0","39,779.9","48,926.4","74,765.9","70,096.4","81,408.4","84,753.4","90,895.4","78,397.1","51,716.6","60,225.6","81,693.8","113,504.1","188,972.1",NaN,NaN,NaN,NaN,NaN,NaN
"        ДНБ, 2005 оны зэрэгцүүлэх үнээр","GDP, 2005 constant","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ","189,094.8","154,207.3","120,211.5","128,431.1","127,351.4","115,657.0","114,454.4","134,214.6","129,513.4","128,321.1","158,917.7","167,517.2","212,196.6","231,312.1","220,763.2","227,478.2","259,916.6","274,253.4","315,490.3","278,185.3","387,486.2","535,791.0","667,517.5","781,175.9",NaN,NaN,NaN,NaN,NaN,NaN
"        ДНБ, 2005 оны зэрэгцүүлэх үнээр","GDP, 2005 constant",Тээвэр ба агуулахын үйл ажиллагаа,"286,674.9","258,357.8","158,088.2","132,792.1","125,500.6","85,005.4","92,822.3","97,221.4","104,065.2","104,220.3","125,470.9","142,412.3","168,533.9","192,109.1","208,462.1","256,726.4","285,055.3","356,819.6","425,540.7","459,404.4","491,459.4","536,335.3","584,959.5","575,709.7",NaN,NaN,NaN,NaN,NaN,NaN
"        ДНБ, 2005 оны зэрэгцүүлэх үнээр","GDP, 2005 constant","Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",NaN,NaN,NaN,NaN,NaN,"12,143.3","12,698.6","12,778.4","12,803.9","13,729.5","15,243.8","14,161.0","14,800.9","14,708.2","16,490.7","19,341.7","21,051.6","24,150.3","25,539.8","24,669.4","23,307.0","41,525.1","52,196.5","53,795.9",NaN,NaN,NaN,NaN,NaN,NaN
"        ДНБ, 2005 оны зэрэгцүүлэх үнээр","GDP, 2005 constant","Мэдээлэл, холбоо",NaN,NaN,NaN,NaN,NaN,"32,702.5","35,427.2","37,079.6","39,606.3","39,633.1","47,486.2","54,125.7","64,151.1","72,783.1","78,963.8","96,261.1","106,602.4","132,439.7","157,640.1","169,469.7","180,325.1","189,726.3","202,360.2","219,048.0",NaN,NaN,NaN,NaN,NaN,NaN
"        ДНБ, 2005 оны зэрэгцүүлэх үнээр","GDP, 2005 constant",Санхүүгийн болон даатгалын үйл ажиллагаа,NaN,NaN,NaN,NaN,NaN,"44,804.1","62,142.3","46,217.3","31,019.6","42,038.9","44,342.1","53,777.1","60,867.7","87,564.8","104,482.9","112,278.8","108,856.6","130,038.2","169,610.9","143,092.9","143,563.3","198,795.8","277,035.3","353,502.0",NaN,NaN,NaN,NaN,NaN,NaN
"        ДНБ, 2005 оны зэрэгцүүлэх үнээр","GDP, 2005 constant",Үл хөдлөх хөрөнгийн үйл ажиллагаа,"124,042.4","123,422.2","123,446.1","122,299.3","121,654.2","122,801.0","124,025.5","128,329.9","130,301.1","131,717.9","134,350.9","138,290.7","144,632.1","150,756.9","155,552.1","160,522.7","166,987.1","166,500.6","180,334.4","195,502.6","195,850.6","204,881.7","220,469.6","231,317.0",NaN,NaN,NaN,NaN,NaN,NaN
"        ДНБ, 2005 оны зэрэгцүүлэх үнээр","GDP, 2005 constant","Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",NaN,NaN,NaN,NaN,NaN,"6,167.0","6,360.4","6,402.4","6,768.9","6,396.0","6,803.2","7,395.5","10,115.8","12,659.1","12,804.9","18,024.5","19,152.1","16,835.4","27,355.3","30,391.8","41,916.8","46,545.3","47,374.7","49,546.8",NaN,NaN,NaN,NaN,NaN,NaN
"        ДНБ, 2005 оны зэрэгцүүлэх үнээр","GDP, 2005 constant",Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,NaN,NaN,NaN,NaN,NaN,"11,021.1","11,782.1","12,146.3","12,978.5","12,686.3","14,721.0","16,529.7","20,750.6","24,677.5","26,099.7","34,071.1","37,174.8","41,049.4","54,818.8","59,911.0","52,767.7","67,472.0","90,754.8","104,461.9",NaN,NaN,NaN,NaN,NaN,NaN
"        ДНБ, 2005 оны зэрэгцүүлэх үнээр","GDP, 2005 constant","Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал","226,092.8","268,063.7","282,747.8","283,333.8","300,103.6","66,110.8","67,314.3","69,414.2","69,242.0","67,405.9","68,499.6","64,260.6","64,892.5","63,344.6","64,612.8","66,923.1","66,605.6","68,845.0","70,979.8","75,588.6","76,079.9","69,308.8","72,982.2","76,757.1",NaN,NaN,NaN,NaN,NaN,NaN
