HID,NATIONAL,REGION,ADM1,ADM1_PCODE,ADM2,ADM2_PCODE,ADM3,ADM4,TYPE,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
H36,National,Western,Завхан,MN81,Дөрвөлжин,MN8128,"4-р баг, Буурал","4-р баг, Буурал",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66,1.9,2.19,2.48,2.84,3.08,3.15,3.52,3.58
H37,National,Western,Завхан,MN81,Дөрвөлжин,MN8128,"5-р баг, Онц","5-р баг, Онц",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,1.57,1.76,1.96,2.21,2.39,2.17,2.31,2.31
H38,National,Western,Завхан,MN81,Завханмандал,MN8127,Завханмандал,,Адуу,5.9,5.85,5.96,5.5,5.96,5.87,5.81,5.45,5.39,4.82,5.1,4.9,5.11,4.78,4.65,4.75,4.77,5.13,5.64,5.37,5.56,5.23,5.28,5.22,6.09,6.65,6.38,6.05,6.11,5.75,3.03,3.06,3.34,3.62,3.81,4.14,4.5,4.82,3.15,1.96,1.3,1.54,1.99,2.47,3.1,3.51,4.38,4.6,3.92,4.43,4.63
H39,National,Western,Завхан,MN81,Завханмандал,MN8127,"1-р баг, Мандал","1-р баг, Мандал",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,0.59,0.87,0.99,1.4,1.5,1.05,1.23,1.46
H40,National,Western,Завхан,MN81,Завханмандал,MN8127,"2-р баг, Олонбулаг","2-р баг, Олонбулаг",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,0.87,1.01,1.13,1.34,1.32,1.21,1.42,1.38
H41,National,Western,Завхан,MN81,Завханмандал,MN8127,"3-р баг, Олонтүрүү","3-р баг, Олонтүрүү",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,0.82,0.98,1.12,1.3,1.36,1.3,1.32,1.27
H42,National,Western,Завхан,MN81,Завханмандал,MN8127,"4-р баг, Нуга","4-р баг, Нуга",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.2,0.24,0.27,0.34,0.42,0.37,0.46,0.52
H43,National,Western,Завхан,MN81,Идэр,MN8106,Идэр,,Адуу,5.61,5.73,5.68,5.32,5.39,5.36,5.37,5.26,5.24,5.01,5.12,5.25,5.07,4.52,4.39,4.42,4.38,4.48,4.71,4.78,4.93,5.35,5.64,5.29,6.02,6.28,6.94,7.53,7.96,8.48,8.17,6.01,3.83,2.81,3.02,3.42,3.93,4.61,5.28,5.57,5.71,5.95,6.13,6.22,6.76,7.53,8.67,9.68,10.47,9.77,10.07
H44,National,Western,Завхан,MN81,Идэр,MN8106,"1-р баг, Мануустай","1-р баг, Мануустай",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,2.16,2.49,2.8,3.34,3.6,3.92,3.59,3.8
H45,National,Western,Завхан,MN81,Идэр,MN8106,"2-р баг, Цэцэрлэг","2-р баг, Цэцэрлэг",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,0.31,0.31,0.35,0.39,0.5,0.47,0.4,0.43
