SID,NATIONAL,REGION,ADM1,ADM1_PCODE,ADM2,ADM2_PCODE,ADM3,ADM4,TYPE,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
S28,National,Western,Завхан,MN81,Баянхайрхан,MN8118,"1-р баг, Наран","1-р баг, Наран",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.31,6.5,6.78,6.57,7.35,6.2,6.1,7.7,7.42
S29,National,Western,Завхан,MN81,Баянхайрхан,MN8118,"2-р баг, Асгат","2-р баг, Асгат",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.31,14.75,17,18.11,18.49,18.3,21.01,21.83,18.16
S30,National,Western,Завхан,MN81,Баянхайрхан,MN8118,"3-р баг, Минж","3-р баг, Минж",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.84,21.9,23.51,22.31,20.39,20.89,22.75,25.52,25.58
S31,National,Western,Завхан,MN81,Баянхайрхан,MN8118,"4-р баг, Төөнт","4-р баг, Төөнт",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.77,16.95,18.37,17.4,14.07,14.85,15.81,17.43,16.56
S32,National,Western,Завхан,MN81,Дөрвөлжин,MN8128,Дөрвөлжин,,Хонь,46.65,50.59,54.38,49.72,48.86,49.73,51.8,46.51,49.7,41.63,41.83,42.22,45.94,41.32,40.53,43.56,44.5,47.56,49.42,50,54.12,54.52,60.9,62.35,62.45,62.46,60.92,59.75,58.51,58.94,53.09,45.97,34.02,35.3,41.84,45.36,50.81,59.68,63.53,51.02,36.76,37.75,42.49,47.73,56.01,61.96,74.28,82.47,56.02,63.67,64.4
S33,National,Western,Завхан,MN81,Дөрвөлжин,MN8128,"1-р баг, Буга","1-р баг, Буга",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,2.3,2.81,2.79,3.27,4.04,2.78,3.12,3.18
S34,National,Western,Завхан,MN81,Дөрвөлжин,MN8128,"2-р баг, Цогт","2-р баг, Цогт",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.11,10.47,14.06,15.5,19.76,22.53,15.51,17.07,16.76
S35,National,Western,Завхан,MN81,Дөрвөлжин,MN8128,"3-р баг, Тавантолгой","3-р баг, Тавантолгой",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.38,14.26,16.92,19.18,22.15,24.28,14.77,17.56,18.04
S36,National,Western,Завхан,MN81,Дөрвөлжин,MN8128,"4-р баг, Буурал","4-р баг, Буурал",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,13.3,15.46,16.62,19.15,19.91,14.13,16.16,16.24
S37,National,Western,Завхан,MN81,Дөрвөлжин,MN8128,"5-р баг, Онц","5-р баг, Онц",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,7.4,6.77,7.88,9.95,11.7,8.83,9.74,10.18
S38,National,Western,Завхан,MN81,Завханмандал,MN8127,Завханмандал,,Хонь,45.04,46.53,49.59,46.8,44.08,45.95,46.29,37.77,41.53,40.1,40.86,40.46,46.04,43.39,39.49,38.59,32.03,33.85,35.12,36.46,38.72,39,43.12,46.89,46.74,47.47,44.61,47.55,50.54,53.08,35.74,35.88,37.72,37.76,43.33,46.29,55.71,63.52,49.99,30.71,26.97,29.08,33.16,37.33,45.4,48.59,58.63,61.4,41.35,44.41,44.87
S39,National,Western,Завхан,MN81,Завханмандал,MN8127,"1-р баг, Мандал","1-р баг, Мандал",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.02,11.12,14.01,14.76,18.4,19.53,12.65,13.77,14.71
S40,National,Western,Завхан,MN81,Завханмандал,MN8127,"2-р баг, Олонбулаг","2-р баг, Олонбулаг",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.32,11.91,14.2,16.06,19.08,18.98,12.34,13.83,13.4
S41,National,Western,Завхан,MN81,Завханмандал,MN8127,"3-р баг, Олонтүрүү","3-р баг, Олонтүрүү",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.02,10.59,12.88,13.12,15.23,16.62,12.14,12.74,12.49
S42,National,Western,Завхан,MN81,Завханмандал,MN8127,"4-р баг, Нуга","4-р баг, Нуга",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,3.7,4.31,4.66,5.93,6.26,4.22,4.07,4.28
S43,National,Western,Завхан,MN81,Идэр,MN8106,Идэр,,Хонь,31.46,33.56,33.36,34.44,34.6,36.95,39.7,43.75,48.54,48.54,49.72,47.69,49.37,44.51,43.92,46.03,46.53,49.19,45.82,49.32,51.96,52.99,43.97,34.16,35.5,33.07,37.5,42.09,44.19,45.75,40.7,25.36,20.05,20.45,27.01,34.81,43.33,54.24,63.9,52.77,34.67,39.8,44.52,48.02,56.79,60.9,69.33,71.49,71.2,68.43,70.46
S44,National,Western,Завхан,MN81,Идэр,MN8106,"1-р баг, Мануустай","1-р баг, Мануустай",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.42,19.75,23.4,25.76,30.5,30.72,30.55,28.64,29.11
S45,National,Western,Завхан,MN81,Идэр,MN8106,"2-р баг, Цэцэрлэг","2-р баг, Цэцэрлэг",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,3.85,4.18,3.7,4.03,3.69,3.94,3.28,3.92
S46,National,Western,Завхан,MN81,Идэр,MN8106,"3-р баг, Загастай","3-р баг, Загастай",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.66,13.13,15.32,16.64,18.82,18.79,18.32,18.35,19.83
S47,National,Western,Завхан,MN81,Идэр,MN8106,"4-р баг, Дархан-Уул","4-р баг, Дархан-Уул",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.14,11.29,13.9,14.8,15.98,18.29,18.38,18.16,17.6
S48,National,Western,Завхан,MN81,Их-Уул,MN8101,Их-Уул,,Хонь,35.87,39.25,42.06,43.96,43.46,46.7,44.71,32.83,37.09,41.79,46.64,48.5,52.37,53.21,55.63,56.9,57.89,58.7,59.14,62.21,63.37,55.34,59.03,56.15,58.22,57.63,59.06,58.12,56.48,55.14,48.88,29.81,29.1,31.45,36.78,44.84,54.53,65.1,78.57,88.3,65.53,73.84,91.49,104.31,121.17,124.87,140.84,146.38,160.27,168.75,139.65
S49,National,Western,Завхан,MN81,Их-Уул,MN8101,"1-р баг, Баян-Ухаа","1-р баг, Баян-Ухаа",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.45,6.76,7.17,6.93,8.03,7.5,7.41,8.58,6.75
S50,National,Western,Завхан,MN81,Их-Уул,MN8101,"2-р баг, Үржил","2-р баг, Үржил",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.53,13.87,16.45,16.73,18.37,18.65,20.68,20.88,16.62
S51,National,Western,Завхан,MN81,Их-Уул,MN8101,"3-р баг, Хуягт","3-р баг, Хуягт",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.25,29.34,33.97,35.9,41.24,41.46,45.96,45.9,34.73
S52,National,Western,Завхан,MN81,Их-Уул,MN8101,"4-р баг, Хонгор","4-р баг, Хонгор",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.28,18.47,21.25,21.77,24.32,25.07,26.75,28.97,23.03
S53,National,Western,Завхан,MN81,Их-Уул,MN8101,"5-р баг, Цэцүүх","5-р баг, Цэцүүх",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.31,20.7,24.54,24.14,27.19,29.81,33.94,36.78,33.68
S54,National,Western,Завхан,MN81,Их-Уул,MN8101,"6-р баг, Зарт","6-р баг, Зарт",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.67,15.18,17.79,19.39,21.68,23.89,25.53,27.64,24.85
S55,National,Western,Завхан,MN81,Нөмрөг,MN8111,Нөмрөг,,Хонь,40.45,41.23,40.86,41.42,43.67,42.77,46.36,45.15,48.7,52.19,53.52,49.43,51.96,52.73,52.26,55.73,55.56,58.28,58.87,65.13,63.48,49.79,43.75,42.32,44.31,46.99,49.63,54.12,56.22,49.14,36.39,15.61,15.03,19.54,22.91,31.05,41.69,54.95,65.58,62.22,30.17,35.96,41.66,49.51,57.37,59.48,67.2,59.46,62.7,71.93,65.7
S56,National,Western,Завхан,MN81,Нөмрөг,MN8111,"1-р баг, Хөдрөг","1-р баг, Хөдрөг",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,2.67,3.25,3.39,4.51,4.81,5.03,4.21,4.72
S57,National,Western,Завхан,MN81,Нөмрөг,MN8111,"2-р баг, Баянзүрх","2-р баг, Баянзүрх",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.17,10.27,12.49,13.46,14.8,12.15,13.85,16.28,14.87
S58,National,Western,Завхан,MN81,Нөмрөг,MN8111,"3-р баг, Дархан-Уул","3-р баг, Дархан-Уул",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.76,11.41,13.03,12.45,12.79,12.55,12.89,13.79,11.34
S59,National,Western,Завхан,MN81,Нөмрөг,MN8111,"4-р баг, Нуур","4-р баг, Нуур",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.53,11.8,13.38,13.33,14.56,11.39,11.92,13.86,13.09
S60,National,Western,Завхан,MN81,Нөмрөг,MN8111,"5-р баг, Хайрхан","5-р баг, Хайрхан",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,13.35,15.22,16.85,20.55,18.56,19.03,23.8,21.69
S61,National,Western,Завхан,MN81,Отгон,MN8107,Отгон,,Хонь,65.46,67.03,69.72,72.19,63.4,64.11,53.88,56.53,63.16,69.56,78.01,82.54,89.56,61.74,48.32,46.49,47.61,48.92,44.28,48.87,50.49,56.49,60.22,47.68,49.05,54.5,59.26,62.71,65.6,68.58,59.46,48.25,43.96,50.47,53.41,61.08,79.09,95.2,96.33,99.04,52.23,56.22,70.24,75.8,81.11,83.98,96.01,104.51,111.75,114.84,99.4
S62,National,Western,Завхан,MN81,Отгон,MN8107,"1-р баг, Буянт","1-р баг, Буянт",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.71,13.8,15.91,15.17,17.24,18.84,20.11,20.44,18.95
S63,National,Western,Завхан,MN81,Отгон,MN8107,"2-р баг, Баянбулаг","2-р баг, Баянбулаг",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.96,13.19,14.43,16.67,18.45,19.45,22,21.9,20.71
S64,National,Western,Завхан,MN81,Отгон,MN8107,"3-р баг, Бадрал","3-р баг, Бадрал",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.77,21.36,21.1,21.45,24.49,23.91,25.93,27.36,22.64
S65,National,Western,Завхан,MN81,Отгон,MN8107,"4-р баг, Соёл","4-р баг, Соёл",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.76,12.01,13.05,13.9,15.66,17.95,17.67,18.36,14.38
S66,National,Western,Завхан,MN81,Отгон,MN8107,"5-р баг, Онц","5-р баг, Онц",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.86,12.15,13.2,13.71,16.2,18.47,19.96,19.34,15.05
S67,National,Western,Завхан,MN81,Отгон,MN8107,"6-р баг, Хужирт","6-р баг, Хужирт",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.18,3.29,3.42,3.07,3.97,5.89,6.08,7.45,7.67
S68,National,Western,Завхан,MN81,Сантмаргац,MN8126,Сантмаргац,,Хонь,44.74,49,52.4,55.85,51.5,53,58.21,52.9,58.47,52.7,51.09,42.63,47.19,47.58,42.1,45.7,46.68,46.14,46.8,48.84,53.54,55.82,58.61,57.69,60.72,60.18,58.45,62.57,68.11,59.41,48.7,45.64,49.41,55.8,70.32,69.01,84.27,90.97,76.95,66.14,51.44,59.35,63.46,69.07,75.9,81.09,79.54,83.91,69.93,73.79,72.62
S69,National,Western,Завхан,MN81,Сантмаргац,MN8126,"1-р баг, Баян-Улаан","1-р баг, Баян-Улаан",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.99,15.06,14.48,15.65,14.19,15.43,10.61,12.63,11.89
S70,National,Western,Завхан,MN81,Сантмаргац,MN8126,"2-р баг, Баяннуур","2-р баг, Баяннуур",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.54,25.05,28.97,31.23,33.14,32.98,28.24,27.27,27.12
S71,National,Western,Завхан,MN81,Сантмаргац,MN8126,"3-р баг, Баяндавс","3-р баг, Баяндавс",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.58,18.68,20.29,22.31,20.54,22.87,20.58,22.73,22.4
S72,National,Western,Завхан,MN81,Сантмаргац,MN8126,"4-р баг, Холбоо","4-р баг, Холбоо",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.35,10.28,12.17,11.9,11.67,12.63,10.51,11.16,11.21
S73,National,Western,Завхан,MN81,Сонгино,MN8123,Сонгино,,Хонь,70.19,73.41,69.89,67.07,60.88,68.37,74.48,73.82,79.4,74.8,73.9,63.41,69.39,67.22,53.16,54.77,57.97,62.54,65.38,71.11,77.82,75.59,71.2,73.34,70.35,68.17,66.62,70.57,64.04,59.73,51.75,33.8,37.62,41.86,51.6,57.58,69.26,72.45,77.96,76.71,24.82,29.98,34.21,37.19,41.2,47.61,52.01,54.8,57.57,64.31,65.73
S74,National,Western,Завхан,MN81,Сонгино,MN8123,"1-р баг, Баян-Айраг","1-р баг, Баян-Айраг",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,6.46,7.4,9.35,11.21,12.76,13.18,15,16.29
S75,National,Western,Завхан,MN81,Сонгино,MN8123,"2-р баг, Айраг нуур","2-р баг, Айраг нуур",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.28,9.52,9.72,10.17,10.28,10.28,11.35,12.48,12.88
S76,National,Western,Завхан,MN81,Сонгино,MN8123,"3-р баг, Шар нуруу","3-р баг, Шар нуруу",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.12,10.92,12.63,14.29,16.01,17.26,18.21,19.15,17.8
